version,gate_id,status,decision,commit,external_required,owner_required,rollback_required,postcheck_required,source_email_refs,next_action
0.2.0,GATE_0.2.0_DATAVERSE_RUNTIME_ACTION_7_OWNER_CLASSIFICATION,CLOSED_LOCAL,DEV_ONLY_NO_DATAVERSE_APPLY,a7a7c453,false,true,true,true,email_rescan:covered_by_local_classification,NONE
0.2.1,GATE_0.2.1_CHANGE_AWARE_EVIDENCE_CABINA_SYNC,BLOCKED_WITH_GATE_PACKET,REQUIRES_REMOTE_REPO_GATE,11b25409,true,true,true,true,email_rescan:evidence_source_path,OPEN_GATE_WHEN_AUTHORIZED
0.2.2,GATE_0.2.2_PR130_CONSTITUTION_SYNC_CABINA,BLOCKED_WITH_GATE_PACKET,REQUIRES_REMOTE_REPO_GATE,3b78a1e5,true,true,true,true,email_rescan:pr130_constitution_sync,OPEN_GATE_WHEN_AUTHORIZED
0.2.3,GATE_0.2.3_GITHUB_LABELS_DEPENDABOT_PROJEC_CDX,BLOCKED_WITH_GATE_PACKET,REQUIRES_GITHUB_WRITE_GATE,b33fefef,true,true,true,true,email_rescan:dependabot_labels,OPEN_GATE_WHEN_AUTHORIZED
0.2.4,GATE_0.2.4_SDU_CN_ISSUE_PREP_REMOTE_ALIGNMENT,BLOCKED_WITH_GATE_PACKET,REQUIRES_GITHUB_WRITE_GATE,f568322b,true,true,true,true,email_rescan:sdu_cn_issue_prep,OPEN_GATE_WHEN_AUTHORIZED
0.2.5,GATE_0.2.5_DATAVERSE_DEV_ENV_PRECHECK_HARDENING,BLOCKED_WITH_GATE_PACKET,REQUIRES_DATAVERSE_READ_GATE,03db98cb,true,true,true,true,email_rescan:dataverse_dev_registry,OPEN_GATE_WHEN_AUTHORIZED
0.2.6,GATE_0.2.6_POWER_AUTOMATE_VALIDATOR_ENFORCEMENT,BLOCKED_WITH_GATE_PACKET,REQUIRES_VALIDATOR_OR_OWNER_EXCEPTION,41404879,true,true,true,true,email_rescan:power_automate_validator,OPEN_GATE_WHEN_AUTHORIZED
0.2.7,GATE_0.2.7_CABINA_RUNTIME_CONNECTIONS_CI_FAILURE_TRIAGE,BLOCKED_WITH_GATE_PACKET,REQUIRES_REMOTE_WORKFLOW_LOGS,de6cd82d,true,true,true,true,email_rescan:runtime_connections_ci,OPEN_GATE_WHEN_AUTHORIZED
0.2.8,GATE_0.2.8_SDU_CN_GATE_ID_CANONICALIZATION,BLOCKED_WITH_GATE_PACKET,REQUIRES_REMOTE_REPO_GATE,68950651,true,true,true,true,email_rescan:sdu_cn_gates,OPEN_GATE_WHEN_AUTHORIZED
0.2.9,GATE_0.2.9_SDU_CN_LIVE_DRAFT_AND_TOOL_ENUM_ALIGNMENT,BLOCKED_WITH_GATE_PACKET,REQUIRES_REMOTE_REPO_GATE,721c037f,true,true,true,true,email_rescan:sdu_cn_order_viva_and_tool_enum,OPEN_GATE_WHEN_AUTHORIZED
0.2.10,GATE_0.2.10_SDU_CN_VALIDATOR_MANIFEST_CI_REGISTRATION,BLOCKED_WITH_GATE_PACKET,REQUIRES_REMOTE_REPO_GATE,4ff85ca0,true,true,true,true,email_rescan:sdu_cn_validator,OPEN_GATE_WHEN_AUTHORIZED
0.2.11,GATE_0.2.11_LOCAL_AGENT_MEMORY_BOUNDARY_HARDENING,BLOCKED_WITH_GATE_PACKET,REQUIRES_OWNER_BOUNDARY_DECISION,cc10e614,false,true,true,true,email_rescan:local_agent_memory,OPEN_LOCAL_FIX_GATE_WHEN_AUTHORIZED
0.2.12,GATE_0.2.12_LOCAL_BRIDGE_AUTH_VALIDATOR_HARDENING,BLOCKED_WITH_GATE_PACKET,REQUIRES_VALIDATOR_FIX_GATE,589b7769,false,true,true,true,email_rescan:local_bridge_auth,OPEN_LOCAL_FIX_GATE_WHEN_AUTHORIZED
0.2.13,GATE_0.2.13_AGILE_CANVAS_POSTCHECK_ENFORCEMENT,BLOCKED_WITH_GATE_PACKET,REQUIRES_POSTCHECK_ENFORCEMENT_GATE,574af80c,false,true,true,true,email_rescan:agile_canvas_postcheck,OPEN_LOCAL_FIX_GATE_WHEN_AUTHORIZED
0.2.14,GATE_0.2.14_DEPENDABOT_DEPENDENCY_PR_REVIEW_PACKET,BLOCKED_WITH_GATE_PACKET,REQUIRES_GITHUB_REVIEW_GATE,fe46211e,true,true,true,true,email_rescan:dependency_pr_queue,OPEN_GATE_WHEN_AUTHORIZED
