variable,scope,status,required_for,live_surface,gate_required,decision
SDU_MODE,Process,MISSING_OPTIONAL_CAPABILITY,local loop,local runtime,no,DEFAULT_LOCAL_ONLY
SDU_MODE,User,MISSING_OPTIONAL_CAPABILITY,local loop,local runtime,no,DEFAULT_LOCAL_ONLY
SDU_MODE,Machine,MISSING_OPTIONAL_CAPABILITY,local loop,local runtime,no,DEFAULT_LOCAL_ONLY
SDU_EXECUTION_PROFILE,Process,MISSING_OPTIONAL_CAPABILITY,local loop,local runtime,no,OPTIONAL_PROFILE
SDU_EXECUTION_PROFILE,User,MISSING_OPTIONAL_CAPABILITY,local loop,local runtime,no,OPTIONAL_PROFILE
SDU_EXECUTION_PROFILE,Machine,MISSING_OPTIONAL_CAPABILITY,local loop,local runtime,no,OPTIONAL_PROFILE
SDU_NO_EXTERNAL,Process,MISSING_OPTIONAL_CAPABILITY,external lock,local runtime,no,ENFORCED_BY_COMMAND_FLAG
SDU_NO_EXTERNAL,User,MISSING_OPTIONAL_CAPABILITY,external lock,local runtime,no,ENFORCED_BY_COMMAND_FLAG
SDU_NO_EXTERNAL,Machine,MISSING_OPTIONAL_CAPABILITY,external lock,local runtime,no,ENFORCED_BY_COMMAND_FLAG
SDU_BASELINE,Process,MISSING_OPTIONAL_CAPABILITY,baseline identity,local runtime,no,RECORDED_IN_READBACK
SDU_BASELINE,User,MISSING_OPTIONAL_CAPABILITY,baseline identity,local runtime,no,RECORDED_IN_READBACK
SDU_BASELINE,Machine,MISSING_OPTIONAL_CAPABILITY,baseline identity,local runtime,no,RECORDED_IN_READBACK
SDU_CHAIN_HEAD,Process,MISSING_OPTIONAL_CAPABILITY,chain identity,local runtime,no,RECORDED_IN_READBACK
SDU_CHAIN_HEAD,User,MISSING_OPTIONAL_CAPABILITY,chain identity,local runtime,no,RECORDED_IN_READBACK
SDU_CHAIN_HEAD,Machine,MISSING_OPTIONAL_CAPABILITY,chain identity,local runtime,no,RECORDED_IN_READBACK
SDU_ENTRY_CANONICAL_PATH,Process,MISSING_OPTIONAL_CAPABILITY,entrypoint,local runtime,no,RECORDED_IN_READBACK
SDU_ENTRY_CANONICAL_PATH,User,MISSING_OPTIONAL_CAPABILITY,entrypoint,local runtime,no,RECORDED_IN_READBACK
SDU_ENTRY_CANONICAL_PATH,Machine,MISSING_OPTIONAL_CAPABILITY,entrypoint,local runtime,no,RECORDED_IN_READBACK
SDU_SURFACE_PATH,Process,MISSING_OPTIONAL_CAPABILITY,workspace,local runtime,no,RECORDED_IN_READBACK
SDU_SURFACE_PATH,User,MISSING_OPTIONAL_CAPABILITY,workspace,local runtime,no,RECORDED_IN_READBACK
SDU_SURFACE_PATH,Machine,MISSING_OPTIONAL_CAPABILITY,workspace,local runtime,no,RECORDED_IN_READBACK
SDU_EVIDENCE_DIR,Process,MISSING_OPTIONAL_CAPABILITY,evidence,local runtime,no,DEFAULT_REPO_PATHS
SDU_EVIDENCE_DIR,User,MISSING_OPTIONAL_CAPABILITY,evidence,local runtime,no,DEFAULT_REPO_PATHS
SDU_EVIDENCE_DIR,Machine,MISSING_OPTIONAL_CAPABILITY,evidence,local runtime,no,DEFAULT_REPO_PATHS
SDU_READBACK_DIR,Process,MISSING_OPTIONAL_CAPABILITY,readback,local runtime,no,DEFAULT_REPO_PATHS
SDU_READBACK_DIR,User,MISSING_OPTIONAL_CAPABILITY,readback,local runtime,no,DEFAULT_REPO_PATHS
SDU_READBACK_DIR,Machine,MISSING_OPTIONAL_CAPABILITY,readback,local runtime,no,DEFAULT_REPO_PATHS
GITHUB_TOKEN,Process,MISSING_OPTIONAL_CAPABILITY,github write,github,yes,BLOCKED_UNTIL_GATE
GITHUB_TOKEN,User,MISSING_OPTIONAL_CAPABILITY,github write,github,yes,BLOCKED_UNTIL_GATE
GITHUB_TOKEN,Machine,MISSING_OPTIONAL_CAPABILITY,github write,github,yes,BLOCKED_UNTIL_GATE
GH_TOKEN,Process,MISSING_OPTIONAL_CAPABILITY,github write,github,yes,BLOCKED_UNTIL_GATE
GH_TOKEN,User,MISSING_OPTIONAL_CAPABILITY,github write,github,yes,BLOCKED_UNTIL_GATE
GH_TOKEN,Machine,MISSING_OPTIONAL_CAPABILITY,github write,github,yes,BLOCKED_UNTIL_GATE
GITHUB_REPOSITORY,Process,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
GITHUB_REPOSITORY,User,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
GITHUB_REPOSITORY,Machine,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
GITHUB_REF,Process,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
GITHUB_REF,User,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
GITHUB_REF,Machine,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
GITHUB_SHA,Process,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
GITHUB_SHA,User,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
GITHUB_SHA,Machine,MISSING_OPTIONAL_CAPABILITY,github context,github,yes,OPTIONAL_CONTEXT
CODEX_CLOUD_ENABLED,Process,PRESENT_NON_SECRET,codex cloud toggle,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_CLOUD_ENABLED,User,MISSING_OPTIONAL_CAPABILITY,codex cloud toggle,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_CLOUD_ENABLED,Machine,MISSING_OPTIONAL_CAPABILITY,codex cloud toggle,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_CLOUD_ENABLED,RepoLocalConfig,PRESENT_NON_SECRET,codex cloud toggle,codexcloud,yes,BLOCKED_UNTIL_GATE
CODEX_CLOUD_PROJECT,Process,MISSING_OPTIONAL_CAPABILITY,codex cloud project,codexcloud,yes,BLOCKED_UNTIL_GATE
