order,gate_0_5,title,target_repo,source_gate_0_4,branch_name,mode,status,next_action
1,0.5.0,Cabina bridge auth token fail-closed,universo-rey/cabina-universal-d,0.4.x_bridge_auth_token_placeholder,codex/sdu-0.5.0-bridge-auth-fail-closed,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
2,0.5.1,Cabina bridge loopback MCP gating,universo-rey/cabina-universal-d,0.4.1,codex/sdu-0.5.1-bridge-loopback-mcp-gating,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
3,0.5.2,Cabina bridge auth validator false-pass hardening,universo-rey/cabina-universal-d,0.4.0,codex/sdu-0.5.2-bridge-auth-validator-route-check,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
4,0.5.3,Dataverse DEV precheck dry-run hardening,universo-rey/cabina-universal-d,0.4.3,codex/sdu-0.5.3-dataverse-dev-precheck-dry-run,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
5,0.5.4,Power Automate validator enforcement,universo-rey/cabina-universal-d,0.4.2,codex/sdu-0.5.4-power-automate-validator-enforcement,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
6,0.5.5,Cabina runtime CI remote logs collection,universo-rey/cabina-universal-d,0.4.12,codex/sdu-0.5.5-cabina-runtime-ci-log-triage,OWNER_GATED_REMOTE_LOG_READ,READY_FOR_OWNER_AUTHORIZATION,OPERATOR_LOG_EXPORT_OR_REMOTE_LOG_OWNER_GATE
7,0.5.6,SDU-CN gate IDs canonicalization,SeshatSgin/seshat-bootstrap-sdu-cn,0.4.9,codex/sdu-0.5.6-sdu-cn-gate-id-canonicalization,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
8,0.5.7,SDU-CN orden viva not-live tool enum alignment,SeshatSgin/seshat-bootstrap-sdu-cn,0.4.10,codex/sdu-0.5.7-order-viva-not-live-tool-enum,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
9,0.5.8,SDU-CN validator manifest CI registration,SeshatSgin/seshat-bootstrap-sdu-cn,0.4.11,codex/sdu-0.5.8-validator-manifest-ci-registration,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
10,0.5.9,SDU-CN issue preparation gate consistency,SeshatSgin/seshat-bootstrap-sdu-cn,0.4.9,codex/sdu-0.5.9-issue-prep-consistency,OWNER_GATED_REMOTE_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_ONE_BRANCH_ONE_PR_WHEN_AUTHORIZED
11,0.5.10,TGE SDU-CN validators log packet,SeshatSgin/torre-gemela-escribania,0.4.12,codex/sdu-0.5.10-tge-sdu-cn-validator-log-triage,OWNER_GATED_REMOTE_LOG_READ,READY_FOR_OWNER_AUTHORIZATION,OPERATOR_LOG_EXPORT_OR_REMOTE_LOG_OWNER_GATE
12,0.5.11,Canon boundary language hard no-live reconciliation,SeshatSgin/sdu-canon,0.4.x_canon_boundary_language,codex/sdu-0.5.11-canon-hard-no-live-reconciliation,OWNER_GATED_CANON_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_CANON_PATCH_PACKET_WHEN_AUTHORIZED
13,0.5.12,Canon evidence path count consistency batch,SeshatSgin/cdf-soluciones,0.4.x_canon_evidence_consistency,codex/sdu-0.5.12-canon-evidence-path-count-consistency,OWNER_GATED_BATCH_PATCH,READY_FOR_OWNER_AUTHORIZATION,PREPARE_BATCH_PATCH_PACKET_WHEN_AUTHORIZED
