"plugin_family","plugin_package","plugin_version_or_hash","skill_id","source_path","status","gate_required","notes"
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:analyze-data-quality","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\analyze-data-quality\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Assess whether tables, query results, files, or dataframes are trustworthy enough for analysis, modeling, dashboards, experiments, or pipelines. Use for grain, freshness, nulls, duplicates, schema drift, broken joins, referential integrity, distribution shifts, leakage, backfills, source mismatches, automated quality checks, and data-quality regressions."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:build-dashboard","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\build-dashboard\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Build source-backed analytical dashboards that help teams monitor performance, explore drivers, and act on product or business metrics. Use when the user needs a dashboard, scorecard, monitoring view, BI dashboard, MCP artifact dashboard, or Streamlit dashboard with clear metrics, filters, validation, and handoff."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:build-report","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\build-report\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Build polished analytical reports for executive, product, business, and technical audiences, and act as the completion contract for Data Analytics report runs. Use when the final artifact needs an answer-first narrative, evidence-backed findings, charts/tables, caveats, source metadata, and either an MCP app report or an HTML report with Seaborn-generated charts."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:design-kpis","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\design-kpis\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Design KPI frameworks, set targets, and develop measurement plans that help teams make product or business decisions. Use when success metrics, drivers, guardrails, targets, or measurement approach need to be defined or improved. Use $metric-diagnostics when the task is to explain why an existing metric moved."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:gather-business-context","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\gather-business-context\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Gather business context from connected or provided sources so downstream analysis starts with the right framing. Use before deeper analysis when an analytical question depends on context the prompt does not provide, for example to understand what a metric means, how the work is defined, what changed recently, or which sources should be checked."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:index","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\index\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Primary router for Data Analytics. Use when the plugin is at-mentioned or for data work where source-backed analysis, quantitative reasoning, analytical delivery, or reusable data context may be useful; examples include analyzing data, explaining or diagnosing metrics, validating data or results, creating data visualizations, building analytics reports or dashboards, working with notebooks or spreadsheets, designing KPIs, sizing opportunities, and saving reusable data context for future analysis."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:jupyter-notebooks","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\jupyter-notebooks\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Create, scaffold, edit, refactor, and validate Jupyter notebooks (`.ipynb`) for reproducible SQL/Python analysis, experiments, modeling, tutorials, diagnostics, data-quality checks, market-sizing calculations, and report support. Use when the notebook itself is a deliverable, review artifact, runnable analysis companion, or handoff artifact that other people should be able to skim, rerun, or extend."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:kpi-reporting","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\kpi-reporting\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Produce leadership-ready KPI updates, scorecards, WBR/MBR/QBR summaries, target and pacing readouts, operating status narratives, and performance updates for known KPIs. Use when the work is to define KPI reporting context, validate metric definitions, present actuals versus comparison or plan, summarize validated drivers, and state implications or next actions."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:market-sizing","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\market-sizing\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Estimate a market or opportunity size, such as TAM/SAM/SOM, by defining scope, choosing a sizing model, checking connected context and public sources, and presenting transparent assumptions, sensitivity, uncertainty, and validation priorities. Use for market or opportunity sizing; not for KPI reporting or metric diagnostics."
"chatgpt-global","data-analytics","0.1.41-cf2b8b6c00d3","chatgpt-global:metric-diagnostics","C:\Users\enzo1\.codex\plugins\cache\chatgpt-global\data-analytics\0.1.41-cf2b8b6c00d3\skills\metric-diagnostics\SKILL.md","PLUGIN_CACHE_REFERENCE","none","Diagnose why a metric changed or differs from expectation by reproducing the metric, choosing the right comparison, validating likely drivers, and producing a calibrated explanation. Use when the user needs to understand what drove a metric movement, anomaly, gap, or discrepancy."
