commit,sequence,scope_bucket,subject,included,notes
7e7ce87b,001,0.3.x-post-labels,docs(sdu): actualizar secuencia 0.3.x tras labels github,true,Post v0.3.0 sequence.
b4e0c58c,002,0.3.x-post-labels,docs(sdu): ejecutar revision local gate 0.3.12 dependabot,true,Local gate review.
f025351b,003,0.3.x-post-labels,docs(sdu): ejecutar triage local gate 0.3.13 ci cabina,true,Local CI triage.
47e540de,004,0.3.x-patch-packets,docs(sdu): preparar patch packet gate 0.3.4 dataverse precheck,true,Patch packet.
a9ad678c,005,0.3.x-patch-packets,docs(sdu): preparar patch packet gate 0.3.5 power automate validator,true,Patch packet.
5be0366c,006,0.3.x-patch-packets,docs(sdu): preparar patch packet gate 0.3.10 bridge auth,true,Patch packet.
ebec192b,007,0.3.x-patch-packets,docs(sdu): preparar gate 0.3.15 bridge loopback y mcp gating,true,Patch packet.
ed8cae13,008,0.3.x-patch-packets,docs(sdu): preparar gate 0.3.16 cobertura ci governance,true,Patch packet.
5e6badaa,009,0.3.x-patch-packets,docs(sdu): preparar gate 0.3.17 no-ps validator wiring,true,Patch packet.
dac983f7,010,0.3.x-patch-packets,docs(sdu): preparar gate 0.3.18 preflight checkout mcp codex cloud,true,Patch packet.
eaa20880,011,0.3.x-patch-packets,docs(sdu): preparar gate 0.3.19 harness local sintetico,true,Patch packet.
76666332,012,0.3.x-patch-packets,docs(sdu): preparar gate 0.3.20 refresco evidencia change-aware,true,Patch packet.
ab0e9f6e,013,0.3.x-closeout,docs(sdu): cerrar avance maximo posterior a 0.3.0,true,Closeout post v0.3.0.
66ca2140,014,0.4.x-wave-prep,docs(sdu): preparar indice wave remota 0.4.x,true,0.4.x preparation.
1591e65a,015,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.0 dataverse precheck remoto,true,0.4.x gate prep.
d3167298,016,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.1 power automate validator remoto,true,0.4.x gate prep.
8f6e60d3,017,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.2 bridge auth remoto,true,0.4.x gate prep.
c683394b,018,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.3 bridge loopback mcp remoto,true,0.4.x gate prep.
ced6b8d6,019,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.4 governance ci remoto,true,0.4.x gate prep.
33a4fd7f,020,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.5 no-ps validator remoto,true,0.4.x gate prep.
8c35491a,021,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.6 mcp codex checkout remoto,true,0.4.x gate prep.
f01a31dc,022,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.7 harness sintetico remoto,true,0.4.x gate prep.
ae093116,023,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.8 evidencia change-aware remota,true,0.4.x gate prep.
6197c712,024,0.4.x-wave-prep,docs(sdu): preparar gate 0.4.9 logs ci cabina remotos,true,0.4.x gate prep.
255bc0e5,025,0.4.x-closeout,docs(sdu): cerrar wave remota 0.4.x local only,true,0.4.x local-only closeout.
b36e4f5a,026,0.4.x-wave-prep,docs(sdu): crear matriz wave 0.4.x remote patches,true,0.4.x matrix.
0085af37,027,0.4.x-orders,docs(sdu): preparar orden 0.4.0 bridge auth validator,true,0.4.x order.
1b1fbe65,028,0.4.x-orders,docs(sdu): preparar orden 0.4.1 bridge loopback mcp gating,true,0.4.x order.
e900e299,029,0.4.x-orders,docs(sdu): preparar orden 0.4.2 power automate validator,true,0.4.x order.
03910ac7,030,0.4.x-orders,docs(sdu): preparar orden 0.4.3 dataverse dev precheck,true,0.4.x order.
a1b3b749,031,0.4.x-orders,docs(sdu): preparar orden 0.4.4 governance ci paths,true,0.4.x order.
2a0c7758,032,0.4.x-orders,docs(sdu): preparar orden 0.4.5 no-ps validator wiring,true,0.4.x order.
d80d1c26,033,0.4.x-orders,docs(sdu): preparar orden 0.4.6 checkout depth mcp codex,true,0.4.x order.
4b9776c6,034,0.4.x-orders,docs(sdu): preparar orden 0.4.7 synthetic harness fixture,true,0.4.x order.
862b6283,035,0.4.x-orders,docs(sdu): preparar orden 0.4.8 change-aware regen,true,0.4.x order.
b54d349a,036,0.4.x-orders,docs(sdu): preparar orden 0.4.9 sdu-cn gate ids,true,0.4.x order.
76629b0c,037,0.4.x-orders,docs(sdu): preparar orden 0.4.10 sdu-cn prompt tool enum,true,0.4.x order.
d38e2536,038,0.4.x-orders,docs(sdu): preparar orden 0.4.11 sdu-cn validator ci,true,0.4.x order.
ccd01555,039,0.4.x-orders,docs(sdu): preparar orden 0.4.12 cabina runtime ci logs,true,0.4.x order.
68811ef1,040,0.4.x-closeout,docs(sdu): cerrar wave 0.4.x remote patch local,true,0.4.x wave ready local-only.
710004e0,041,0.5.x-master,docs(sdu): preparar wave 0.5.x remote patch controlada,true,0.5.x wave prepared.
c11ae07b,042,0.5.0-authorization,docs(sdu): autorizar gate 0.5.0 bridge auth fail closed,true,0.5.0 owner authorization packet.
2ed2db34,043,0.5.0-execution,docs(sdu): registrar ejecucion gate 0.5.0 bridge auth,true,0.5.0 no-live execution evidence.
7cf1a9cf,044,0.5.1-execution,docs(sdu): registrar ejecucion gate 0.5.1 bridge loopback mcp,true,0.5.1 no-live execution evidence.
904d352e,045,metadata-local-clean,docs(sdu): reparar metadata overlay y versionar cadena operativa,true,Metadata overlay repair.
ba3cfc66,046,metadata-local-clean,docs(sdu): versionar matriz canon final de repos,true,Repo canon matrix.
53c741d9,047,metadata-local-clean,docs(sdu): versionar reconciliacion de superficies locales,true,Local surface reconciliation.
15e0ffa3,048,metadata-local-clean,docs(operativa): versionar cronologia inventario cloud,true,Cloud inventory chronology.
65fc98c1,049,metadata-local-clean,chore(local): ignorar overlays locales de workspace,true,Workspace overlay hygiene.
e4f3d454,050,total-stack,docs(sdu): cerrar warnings auditoria total stack,true,Total stack warnings closeout.
b3ac9f9b,051,governance,docs(sdu): preparar plan rector gobierno total cabina,true,Governance plan.
6a19de8b,052,ide-control-plane,docs(sdu): activar control plane ide cabina,true,IDE control-plane.
973a172b,053,w0-nervous-system,docs(sdu): inventariar sistema nervioso ide cabina,true,W0 nervous system inventory.
