command_path,kind,surface,allowed_without_gate,blocked_without_gate,classification,notes
.github/workflows/promote.yml,workflow,github,false,true,BLOCKED_WITHOUT_GATE,"workflow_dispatch con contents/write y PR; no disparar sin gate"
tools/build_codex_root_inventory.py,python,local,true,false,LOCAL_ANALYZE,"inventario local; no live por defecto"
tools/build_control_workbook.mjs,node,local,false,true,LOCAL_WRITE_GATED,"genera workbook/salida; ejecutar solo con gate documental"
tools/build_index.py,python,metadata,false,true,LOCAL_WRITE_GATED,"puede escribir indices; usar solo con orden de indexacion"
tools/build_skills_unified_table.ps1,powershell,local,false,true,LOCAL_WRITE_GATED,"genera tabla de skills; gate documental"
tools/build_skills_workbook.py,python,local,false,true,LOCAL_WRITE_GATED,"genera workbook; gate documental"
tools/build_universe_relationship_audit.py,python,local,true,false,LOCAL_ANALYZE,"auditoria local"
tools/codex-cloud-bootstrap.ps1,powershell,codex_cloud,false,true,BLOCKED_WITHOUT_GATE,"superficie Codex Cloud"
tools/codex-cloud-bootstrap.sh,shell,codex_cloud,false,true,BLOCKED_WITHOUT_GATE,"superficie Codex Cloud"
tools/codex-cloud-live.ps1,powershell,codex_cloud,false,true,BLOCKED_WITHOUT_GATE,"live por nombre y proposito"
tools/codex-cloud-maintenance.ps1,powershell,codex_cloud,false,true,BLOCKED_WITHOUT_GATE,"mantenimiento Cloud requiere gate"
tools/codex-cloud-maintenance.sh,shell,codex_cloud,false,true,BLOCKED_WITHOUT_GATE,"mantenimiento Cloud requiere gate"
tools/codex-cloud-setup.sh,shell,codex_cloud,false,true,BLOCKED_WITHOUT_GATE,"setup remoto/dependencias; gate"
tools/codex-cloud-ui-maintenance-noop.sh,shell,local,true,false,LOCAL_NOOP,"noop declarado"
tools/codex-cloud-ui-setup-noop.sh,shell,local,true,false,LOCAL_NOOP,"noop declarado"
tools/codex-control-total.ps1,powershell,local,false,true,LOCAL_RUNTIME_GATED,"control amplio; requiere orden exacta"
tools/codex-environment-cleanup.ps1,powershell,local,false,true,LOCAL_CLEANUP_GATED,"cleanup local; requiere backup/gate"
tools/codex-environment-setup.ps1,powershell,local,false,true,LOCAL_SETUP_GATED,"setup local; modifica entorno"
tools/normalize_codex_surfaces.ps1,powershell,local,false,true,LOCAL_NORMALIZATION_GATED,"normaliza superficies; requiere plan"
tools/cabina/Invoke-CabinaGovernancePrecheck.ps1,powershell,local,true,false,LOCAL_ANALYZE,"precheck seguro para macro-wave: usa Code Insiders por ruta completa y Python de .venv"
tools/promote_binding_ui_seshat_home_atomos_dataverse.ps1,powershell,dataverse,false,true,BLOCKED_WITHOUT_GATE,"promocion Dataverse"
tools/promote_lane_b_corte_agent_index_dataverse.ps1,powershell,dataverse,false,true,BLOCKED_WITHOUT_GATE,"promocion Dataverse/SharePoint"
tools/promote_sdu_manifesto_dataverse.ps1,powershell,dataverse,false,true,BLOCKED_WITHOUT_GATE,"promocion Dataverse"
tools/read_dataverse_rehydration_live.ps1,powershell,dataverse,false,true,READ_LIVE_GATED,"live read requiere owner/gate"
tools/rehome_codex_root_safe.ps1,powershell,local,false,true,LOCAL_REHOME_GATED,"rehome de raiz; alto impacto"
tools/sdu_auto_remediation.py,python,local,true,false,LOCAL_ANALYZE,"analyze usado sin drift"
tools/sdu_boot.ps1,powershell,local,true,false,LOCAL_DRYRUN_ALLOWED,"usar -NoExternal -DryRun para prechecks"
tools/sdu_canon_source_guard.py,python,local,true,false,LOCAL_VALIDATE,"guard canonico local"
tools/sdu_chain_resolver.py,python,local,true,false,LOCAL_DRYRUN_ALLOWED,"usar --no-external --dry-run"
tools/sdu_sentinel.py,python,local,true,false,LOCAL_VALIDATE,"scan/check local; sin live"
tools/sdu_sentinel.py guard,python,external_guard,true,false,LOCAL_CLASSIFICATION_ALLOWED,"guard clasifica superficies externas sin ejecutar live"
tools/test_codex_powershell_layout.ps1,powershell,local,true,false,LOCAL_VALIDATE,"test layout PowerShell"
tools/update_codex_config_workbook.py,python,local,false,true,LOCAL_CONFIG_WRITE_GATED,"actualiza workbook/config; gate"
tools/update_codex_config_workbook.py github-read,python,github,false,true,GITHUB_READ_GATED,"puede usar gh api/pr list si se ejecuta; requiere gate GitHub read"
tools/validate_proj_cdx_operational_chain.ps1,powershell,local,true,false,LOCAL_VALIDATE,"validator local"
tools/validate_proj_cdx_sync.ps1,powershell,local,true,false,LOCAL_VALIDATE,"validator local"
tools/validate_proj_cdx_workbench.ps1,powershell,local,true,false,LOCAL_VALIDATE_WITH_LEGACY_DEBT,"deuda legacy conocida"
tools/validate_sdu_dataverse_metadata_wave.ps1,powershell,dataverse,false,true,DATAVERSE_METADATA_GATED,"validacion Dataverse metadata; gate si toca PAC/live"
tools/validate.py,python,metadata,true,false,LOCAL_VALIDATE,"wrapper metadata"
