repo,path,git_state,classification,role,risk,next_action
seshat-bootstrap-sdu-cn,README.md,modified,CANON_INDEX_UPDATE,lane_a_bootstrap_index,low,package_on_branch_after_secret_guard
seshat-bootstrap-sdu-cn,workspace/README.md,modified,CANON_INDEX_UPDATE,workspace_index,low,package_on_branch_after_secret_guard
seshat-bootstrap-sdu-cn,workspace/documents/drafts/README.md,modified,DRAFTS_INDEX_UPDATE,drafts_index,low,package_on_branch_after_secret_guard
seshat-bootstrap-sdu-cn,agents/sdu_cn/SDU_CN_CANON_COPILOT_PROMPT.md,untracked,PROMPT_CANON_READY,copilot_prompt_canon,medium,branch_pr_after_secret_guard_and_validator_pass
seshat-bootstrap-sdu-cn,workspace/documents/drafts/ORDEN_VIVA_PARA_SESHAT.md,untracked,LIVING_ORDER_DRAFT,dataverse_origin_reading_order,medium,review_with_sdu_cn_before_promotion
seshat-bootstrap-sdu-cn,workspace/documents/drafts/APERTURA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md,untracked,MEETING_OPENING_DRAFT,corte_opening,low,review_with_sdu_cn_before_promotion
seshat-bootstrap-sdu-cn,workspace/documents/drafts/PRIMERA_INTERVENCION_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md,untracked,INTERAGENT_CONVERSATION_DRAFT,mesa_first_voice,low,review_with_sdu_cn_before_promotion
seshat-bootstrap-sdu-cn,workspace/documents/drafts/MINUTA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md,untracked,MEETING_WORKSHEET_DRAFT,mesa_working_note,low,review_with_sdu_cn_before_promotion
seshat-bootstrap-sdu-cn,workspace/documents/drafts/ACTA_MESA_TRABAJO_CORTE_EJECUTORA_20260616.md,untracked,DRAFT_ACTA_WITH_EVIDENCE_INDEX_REQUIRES_SDU_CN_REVIEW,acta_draft,medium,review_with_sdu_cn_before_promotion
Sgin,README.md,modified,CANON_INDEX_UPDATE,lane_c_sgin_index,low,branch_decision_later
Sgin,torres/tge-escribania/cabina-remota-20260514,untracked,LOCAL_ONLY_EVIDENCE_PACKAGE,cabina_remote_evidence_inventory_runbook,medium,branch_decision_later
Sgin,torres/tge-escribania/reflejo-institucional-sys,untracked,LOCAL_PREPARED_PUBLICATION_BLUEPRINT_GATE_REQUIRED,sys_reflection_publication_model,medium,branch_decision_later
Sgin,torres/tge-escribania/sys-control-20260514,untracked,LOCAL_PREPARATORY_CONTROL_PACKAGE,sys_control_evidence_matrices_gate,medium,branch_decision_later
sgin-cumplimiento,README.md,modified,CANON_INDEX_UPDATE,lane_c_compliance_index,low,branch_decision_later
