"artifact","kind","path","status"
"dispatch_register","csv","operativa/archive/legacy-root/20260617/THREAD_LIVE_DISPATCH_5_PLUS_1_20260617.csv","THREADS_OPENED_READ_ONLY"
"readback","markdown","operativa/archive/legacy-root/20260617/READBACK_THREAD_LIVE_DISPATCH_5_PLUS_1_20260617.md","THREADS_OPENED_READ_ONLY"
"fan_in_snapshot","csv","operativa/archive/legacy-root/20260617/THREAD_FAN_IN_SNAPSHOT_5_PLUS_1_20260617.csv","UPDATED_TO_FINAL"
"fan_in_readback","markdown","operativa/archive/legacy-root/20260617/READBACK_THREAD_FAN_IN_SNAPSHOT_5_PLUS_1_20260617.md","UPDATED_TO_FINAL"
"fan_in_final","csv","operativa/archive/legacy-root/20260617/THREAD_FAN_IN_FINAL_5_PLUS_1_20260617.csv","THREADS_OPENED_FAN_IN_FINAL_DECISION_READY"
"decision_matrix","csv","operativa/archive/legacy-root/20260617/MATRIZ_DECISION_MUTACIONES_5_PLUS_1_20260617.csv","DECISION_READY"
"fan_in_final_readback","markdown","operativa/archive/legacy-root/20260617/READBACK_THREAD_FAN_IN_FINAL_5_PLUS_1_20260617.md","THREADS_OPENED_FAN_IN_FINAL_DECISION_READY"
"source_packets","folder","operativa/thread-packets-20260617/","USED"
"hito_readme","markdown","hitos/20260617-thread-live-dispatch-5-plus-1-v1/README.md","CREATED"
"manifest","yaml","hitos/20260617-thread-live-dispatch-5-plus-1-v1/MANIFEST.yaml","CREATED"
