item_id,tipo,ruta,carril,owner,uso,requires_live,requires_secret,gate,validator,runner,status,accion
python_venv,runner,C:\CEO\project-cdx\.venv\Scripts\python.exe,SCHEMA,thot_schema,"metadata,tests,sentinel",false,false,none,"python -m tools.validate",python,ACTIVE_CANON,keep
pytest,runner,C:\CEO\project-cdx\.venv\Scripts\pytest.exe,SCHEMA,thot_schema,"test suite",false,false,none,"pytest -q",python,ACTIVE_CANON,keep
tools.validate,tool,C:\CEO\project-cdx\tools\validate.py,SCHEMA,thot_schema,"metadata validation",false,false,none,"python -m tools.validate",python,ACTIVE_CANON,keep
sdu_sentinel,tool,C:\CEO\project-cdx\tools\sdu_sentinel.py,GATE,anubis.frontier_guardian,"sentinel scan/check/guard",false,false,external_for_guarded_surfaces,"sentinel check",python,ACTIVE_CANON,keep
sdu_auto_remediation,tool,C:\CEO\project-cdx\tools\sdu_auto_remediation.py,GATE,anubis.frontier_guardian,"local analyze no drift",false,false,none,"analyze",python,ACTIVE_CANON,keep
sdu_boot,tool,C:\CEO\project-cdx\tools\sdu_boot.ps1,WORKSPACE,codex.workspace_guardian,"local boot dry-run",false,false,no_external_required,"-NoExternal -DryRun",powershell,ACTIVE_CANON,keep
sdu_chain_resolver,tool,C:\CEO\project-cdx\tools\sdu_chain_resolver.py,SEQUENCE,ramanujan.sequence_controller,"local chain resolver dry-run",false,false,no_external_required,"--no-external --dry-run",python,ACTIVE_CANON,keep
code_insiders,runner,C:\Users\enzo1\AppData\Local\Programs\Microsoft VS Code Insiders\bin\code-insiders.cmd,WORKSPACE,codex.workspace_guardian,"IDE status,extension inventory",false,false,write_gate_for_settings,"code-insiders --status",vscode,ACTIVE_LOCAL,inventory_only
openai.chatgpt,plugin,C:\Users\enzo1\.vscode-insiders\extensions\openai.chatgpt-26.616.51431-win32-x64,CONNECTOR,tech.reference_librarian,"Codex IDE extension",false,false,gate_for_cloud_delegate,"locate-extension,status",vscode,ACTIVE_LOCAL,govern
data-analytics:index,skill,C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\data-analytics\0.1.43-7f4d2c05f012\skills\index\SKILL.md,CONNECTOR,faraday.integration_guard,"analytics routing and semantic layer",true,false,gate_for_connector_reads,"preflight",plugin,ACTIVE_CANON,govern
data-analytics:user-context,skill,C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\data-analytics\0.1.43-7f4d2c05f012\skills\user-context\SKILL.md,CONNECTOR,faraday.integration_guard,"source routing preflight",false,false,none,"data_analytics_preflight.py",plugin,ACTIVE_CANON,keep
openai-docs,skill,C:\Users\enzo1\.codex\skills\.system\openai-docs\SKILL.md,CONNECTOR,tech.reference_librarian,"OpenAI/Codex docs route",true,false,gate_for_remote_docs,"manual helper/docs MCP",node,ACTIVE_CANON,keep
openai-developers:chatgpt-app-submission,skill,C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\openai-developers\1.2.3\skills\chatgpt-app-submission\SKILL.md,CONNECTOR,tech.reference_librarian,"MCP app submission review",false,false,target_required,"source inspection",plugin,ON_DEMAND_GATED,prepare_when_target_exists
openai-developers:openai-api-troubleshooting,skill,C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\openai-developers\1.2.3\skills\openai-api-troubleshooting\SKILL.md,INTEGRATION,faraday.integration_guard,"classify concrete API failures",true,true,error_and_gate_required,"no request in plan",plugin,ON_DEMAND_GATED,use_after_error
ms-python.python,plugin,C:\Users\enzo1\.vscode-insiders\extensions\ms-python.python-2026.5.2026061001-win32-x64,WORKSPACE,codex.workspace_guardian,"Python IDE support",false,false,write_gate_for_settings,"locate-extension",vscode,ACTIVE_LOCAL,govern
ms-toolsai.jupyter,plugin,C:\Users\enzo1\.vscode-insiders\extensions\ms-toolsai.jupyter-2026.6.2026061001-win32-x64,DATA,faraday.integration_guard,"notebook/data runner",false,false,owner_gate_for_notebooks,"locate-extension",vscode,ON_DEMAND_GATED,govern
github.vscode-github-actions,plugin,C:\Users\enzo1\.vscode-insiders\extensions\github.vscode-github-actions-0.32.0,CONNECTOR,faraday.integration_guard,"workflow visibility",true,false,github_gate,"locate-extension",vscode,ON_DEMAND_GATED,read_only
github.vscode-pull-request-github,plugin,C:\Users\enzo1\.vscode-insiders\extensions\github.vscode-pull-request-github-0.151.2026062204,CONNECTOR,faraday.integration_guard,"PR visibility/actions",true,false,github_gate,"locate-extension",vscode,ON_DEMAND_GATED,read_only_until_owner
ms-azuretools.vscode-azure-mcp-server,plugin,C:\Users\enzo1\.vscode-insiders\extensions\ms-azuretools.vscode-azure-mcp-server-3.0.20-win32-x64,CONNECTOR,anubis.frontier_guardian,"Azure MCP",true,true,mcp_gate,"locate-extension",vscode,GATED_NOT_EXECUTABLE,inventory_only
microsoft-isvexptools.powerplatform-vscode,plugin,C:\Users\enzo1\.vscode-insiders\extensions\microsoft-isvexptools.powerplatform-vscode-2.0.145,INTEGRATION,faraday.integration_guard,"Power Platform tooling",true,true,power_platform_gate,"locate-extension",vscode,GATED_NOT_EXECUTABLE,inventory_only
delta-gobernado,skill,C:\Users\enzo1\.codex\skills\delta-gobernado\SKILL.md,DELTA_EXECUTION,rey.control_plane_orchestrator,Rector de deltas gobernados reversibles.,false,false,none,tools.validate,SKILL.md,ACTIVE_CANON,govern
governed-readback-closeout,skill,C:\Users\enzo1\.codex\skills\governed-readback-closeout\SKILL.md,READBACK_CLOSEOUT,court.seshat_evidence,Cierre con readback evidencia y rollback.,false,false,none,tools.validate,SKILL.md,ACTIVE_CANON,govern
cabina-agent-delegation,skill,C:\Users\enzo1\.codex\skills\cabina-agent-delegation\SKILL.md,AGENT_DELEGATION,rey.control_plane_orchestrator,Delegacion acotada de agentes.,false,false,none,sdu_chain_resolver,SKILL.md,ACTIVE_CANON,govern
projec-cdx-semantic-layer,skill,C:\Users\enzo1\.codex\skills\projec-cdx-semantic-layer\SKILL.md,SEMANTIC_LAYER,seshat.canon_librarian,Capa semantica de PROJEC CDX.,false,false,none,tools.validate,SKILL.md,ACTIVE_CANON,govern
dispatching-parallel-agents,skill,C:\Users\enzo1\.agents\skills\dispatching-parallel-agents\SKILL.md,PARALLEL_DISPATCH,rey.control_plane_orchestrator,Despacho paralelo cuando hay tareas independientes.,false,false,none,sdu_chain_resolver,SKILL.md,ACTIVE_CANON,govern
openai-platform-api-key,skill,C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\openai-developers\1.2.3\skills\openai-platform-api-key\SKILL.md,OPENAI_SECURITY,anubis.frontier_guardian,Reuso o creacion de clave solo con gate y sin imprimir secretos.,true,true,secret_safe_owner_gate,no_secret_print,SKILL.md,ON_DEMAND_GATED,govern
openai-developers:agents-sdk,skill,C:\Users\enzo1\.codex\plugins\cache\openai-curated-remote\openai-developers\1.2.3\skills\agents-sdk\SKILL.md,OPENAI_DEVELOPERS,tech.reference_librarian,Agents SDK solo con target y frontera.,true,false,openai_live_gate,target_required,SKILL.md,ON_DEMAND_GATED,govern
