source_path,source_type,scope,relationship_to_sdu_runtime_boundary,adopted_into_runtime_matrix,reason,decision
operativa/SDU_RUNTIME_BOUNDARY_MATRIX.json,runtime_boundary,PROJEC_CDX,canonical_runtime_boundary,yes,"Fuente unica de frontera ejecutable del repo PROJEC CDX v0.1.0.","CANON_KEEP"
C:/Users/enzo1/.codex/matrices/matrices/connections/CONNECTION_GATE_MATRIX.csv,connection_gate_matrix,global_codex_local,supporting_gate_taxonomy,no,"Define gates por superficie/proveedor/acciones permitidas y bloqueadas. Es antecedente de criterio, no reemplaza la matriz runtime porque opera a nivel conexion/proveedor.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/matrices/connections/CONNECTION_SECRET_BOUNDARY_MATRIX.csv,connection_secret_boundary,global_codex_local,supporting_secret_boundary,no,"Define almacenamiento permitido/bloqueado de secretos por conexion. Soporta regla no_secret_exposure, pero es especifica de conexiones y demasiado granular para frontera runtime.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/dataverse/data/seed_connection_gates.csv,dataverse_seed_gate,dataverse_seed,supporting_connection_gate_seed,no,"Proyecta CONNECTION_GATE_MATRIX hacia semillas Dataverse. Sirve como antecedente para futuras aperturas Dataverse, no como frontera runtime local.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/dataverse/data/seed_validation_gates.csv,dataverse_validation_seed,dataverse_seed,supporting_validation_gate_seed,no,"Lista gates de validacion DEV. Es evidencia de gate historico, no fuente runtime activa del repo.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/matrices/runtime/DEV_RUNTIME_ACTIVATION_TARGET_MATRIX.csv,dev_runtime_activation,dataverse_runtime_history,supporting_runtime_history,no,"Describe targets de activacion DEV y condiciones de procesamiento. No gobierna la frontera local actual porque contiene contexto de runtime externo historico.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/matrices/runtime/DEV_RUNTIME_STATE_MATRIX.csv,dev_runtime_state,dataverse_runtime_history,supporting_environment_state,no,"Registra estado de ambiente DEV/HUBDesarrollo. Es antecedente de entorno, no autorizacion live ni frontera del repo.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/matrices/runtime/BACK_REFERENCE_RUNTIME_TRACE_SOURCE_MATRIX.csv,back_reference_trace,runtime_history,supporting_trace_source,no,"Conecta trazas de runtime con fuentes anteriores. Sirve para rastreo, no para politicas de frontera ejecutable.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/matrices/postmerge/TOOLCHAIN_CAPABILITY_MATRIX.csv,toolchain_capability,local_toolchain,supporting_tool_presence,no,"Describe herramientas y usos permitidos/bloqueados. Complementa capacidades, pero la frontera runtime se mantiene en surfaces/actions/policy.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/powerplatform/workqueues/schemas/gate_review.schema.json,gate_review_schema,powerplatform_schema,supporting_schema,no,"Schema de revisiones de gate para workqueues. Sirve para estructura futura, no para decision runtime actual.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/sdu/SDU_MASTER_ENVIRONMENT_SOLUTION_MATRIX.csv,environment_solution_matrix,sdu_environment,supporting_environment_map,no,"Mapa de entornos/soluciones SDU. Informa futuras aperturas, no habilita live ni reemplaza frontera local.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/matrices/sharepoint/seshat_hub_workbench_20260612/PRODUCTION_GATE_SDU_WORK_QUEUE_GATE_REVIEW_HANDLER_20260612.csv,production_gate_review,sharepoint_powerplatform_history,supporting_gate_evidence,no,"Evidencia historica de gate review. No es frontera runtime del repo actual.","REFERENCE_AS_SUPPORT"
C:/Users/enzo1/.codex/worktrees/*/.agents/codex/matrices/PLUGIN_SKILL_BOUNDARY_MATRIX.csv,plugin_skill_boundary,archived_worktrees,supporting_skill_plugin_boundary,no,"Aparece en worktrees locales y limita superficies plugin/skill. Es antecedente por carril, no canon activo de PROJEC CDX.","REFERENCE_AS_ARCHIVE_SUPPORT"
C:/Users/enzo1/.codex/worktrees/*/matrices/connections/CONNECTION_SECRET_BOUNDARY_MATRIX.csv,connection_secret_boundary_copy,archived_worktrees,duplicate_supporting_secret_boundary,no,"Copias en worktrees de cabina. Se reconocen como duplicados/derivados de la matriz global de secretos, no se incorporan al repo.","REFERENCE_AS_ARCHIVE_DUPLICATE"
