wave,commit,status,scope,evidence,validation,decision
post-0.3.x,7e7ce87b..ab0e9f6e,INCLUDED,"Secuencia 0.3.x posterior a labels-only y avance maximo post 0.3.0","operativa/archive/legacy-root/20260622/READBACK_MAX_ADVANCE_AFTER_0.3.0_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
0.4.x,66ca2140..68811ef1,INCLUDED,"Wave remote patch preparada local-only","operativa/archive/legacy-root/20260622/READBACK_0.4.x_REMOTE_PATCH_WAVE_CLOSEOUT_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
0.5.x,710004e0,INCLUDED,"Orden maestra de remote patch controlada 0.5.x","operativa/archive/legacy-root/20260622/OWNER_AUTHORIZATION_0.5.x_CONTROLLED_REMOTE_PATCH_WAVE_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
0.5.0,2ed2db34,INCLUDED,"Bridge auth fail-closed patch remoto controlado no-live","operativa/archive/legacy-root/20260622/READBACK_GATE_0.5.0_REMOTE_PATCH_EXECUTION_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
0.5.1,7cf1a9cf,INCLUDED,"Bridge loopback y MCP gating patch remoto controlado no-live","operativa/archive/legacy-root/20260622/READBACK_GATE_0.5.1_BRIDGE_LOOPBACK_MCP_GATING_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
metadata-overlay,904d352e,INCLUDED,"Reparacion metadata overlay y versionado de cadena operativa","operativa/archive/legacy-root/20260622/CADENA_OPERATIVA_RUNTIME_AGENTES_ENTORNOS_20260622.md","metadata PASS; sentinel check PASS; pytest PASS","INCLUDE_IN_RC1"
local-drift,65fc98c1,INCLUDED,"Cierre local drift y overlays de workspace ignorados sin borrar","operativa/READBACK_LOCAL_DRIFT_CLASSIFICATION_AND_CLOSEOUT_20260622.md","sentinel PASS / NO_DRIFT en cierres posteriores","INCLUDE_IN_RC1"
total-stack,e4f3d454,INCLUDED,"Cierre de warnings de auditoria total stack","operativa/READBACK_TOTAL_STACK_AUDIT_WARNING_CLOSEOUT_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
governance-plan,b3ac9f9b,INCLUDED,"Plan rector de gobierno total cabina","operativa/CABINA_GOBIERNO_TOTAL_PLAN_RECTOR_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
ide-control-plane,6a19de8b,INCLUDED,"Activacion de VS Code Insiders como control-plane IDE","operativa/READBACK_IDE_CONTROL_PLANE_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
w0,973a172b,INCLUDED,"Inventario del sistema nervioso IDE cabina","operativa/READBACK_W0_IDE_NERVOUS_SYSTEM_INVENTORY_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
v0.6.0-candidate,575a77a0,INCLUDED,"Candidato v0.6.0 local sin tag","operativa/archive/legacy-root/20260622/VERSION_v0.6.0_CANDIDATE_20260622.md","metadata/sentinel/pytest pass en cierres posteriores","INCLUDE_IN_RC1"
w4,18c766d8,INCLUDED,"Reconciliacion indice skills recetas y plugins","operativa/archive/legacy-root/20260622/READBACK_W4_SKILL_RECIPE_PLUGIN_INDEX_RECONCILIATION_20260622.md","runner PASS; metadata PASS; sentinel PASS; pytest PASS","INCLUDE_IN_RC1"
runner,bb1ff46e,INCLUDED,"Comandos PowerShell corregidos y runner gobernado de cabina","tools/cabina/Invoke-CabinaGovernancePrecheck.ps1","runner PASS; metadata PASS; sentinel PASS; pytest PASS","INCLUDE_IN_RC1"
w1-w2,cf99f7d7,INCLUDED,"Clasificacion de carriles, overlays y ruido local","operativa/archive/legacy-root/20260622/READBACK_W1_W2_CARRIL_NOISE_REDUCTION_20260622.md","runner PASS; metadata PASS; sentinel PASS; pytest PASS","INCLUDE_IN_RC1"
w3,1b721467,INCLUDED,"Asignacion de agentes a carriles operativos","operativa/archive/legacy-root/20260622/READBACK_W3_AGENT_CHAIN_CARRILS_20260622.md","runner PASS; metadata PASS; sentinel PASS; pytest PASS","INCLUDE_IN_RC1"
w5,5fefb01c,INCLUDED,"Registro de conectores on-demand y gates","operativa/archive/legacy-root/20260622/READBACK_W5_CONNECTORS_ON_DEMAND_20260622.md","runner PASS; metadata PASS; sentinel PASS; pytest PASS","INCLUDE_IN_RC1"
w6,b3ec5290,INCLUDED,"Preparacion de carriles Data Analytics y OpenAI Developers","operativa/archive/legacy-root/20260622/READBACK_W6_DATA_OPENAI_LANES_20260622.md","runner PASS; metadata PASS; sentinel PASS; pytest PASS","INCLUDE_IN_RC1"
