check_id,gate,command_or_source,expected,blocks_if,notes
LOCAL_STATUS,G0,"git status --short --branch","clean or only G0 files","dirty unrelated","no avanzar con overlay local"
LOCAL_TAG,G0,"git show --stat v0.6.0-rc1","tag local points to c818ae3a","tag missing or wrong target","tag local existe antes de remoto"
CABINA_RUNNER,G0,"tools/cabina/Invoke-CabinaGovernancePrecheck.ps1","PASS; metadata; sentinel; pytest; diff check","any failed step","runner canonicamente usa C:\\CEO\\project-cdx"
REMOTE_REPO,G1,"gh repo view","repo universo-rey/projec-cdx visible","repo ambiguous or auth fail","read-only"
REMOTE_PRS,G1,"gh pr list","PRs abiertos clasificados","conflicting PR found","no cerrar ni mergear"
REMOTE_LABELS,G1,"gh label list","dependencies; github-actions; release/gate/status labels enough","required labels missing","si falta, crear gate de labels separado"
REMOTE_WORKFLOWS,G1,"gh workflow list + local workflow inspection","workflows known and safe enough","unsafe dispatch; path filter missing; shallow checkout risk","no workflow_dispatch"
REMOTE_TAG,G1,"git ls-remote --tags origin v0.6.0-rc1","tag remote absent","tag already exists","detener si existe"
BRANCH_PUSH,G2,"git push origin HEAD:refs/heads/codex/v0.6.0-rc1-governed-publication","branch pushed","push rejected or wrong remote","rollback branch delete"
PR_OPEN,G3,"gh pr create --draft","draft PR opened","PR creation fail or existing conflict","no merge"
CHECKS,G4,"gh pr checks --watch","checks green","checks fail; REQUEST_CHANGES","stabilize or stop"
TAG_PUSH,G5,"git push origin v0.6.0-rc1","tag remote published","tag exists; PR not stable","no release publish"
CLOSEOUT,G6,"readback + final status","evidence complete","readback incomplete; validator fail","commit final evidence"
