finding_id,area,status,evidence,impact,decision,next_action
G1_REPO,repo,PASS,"universo-rey/projec-cdx public; default branch main","repo remoto correcto","ALLOW","continuar dentro de G1"
G1_AUTH,github_auth,PASS,"gh auth active for SeshatSgin; token output masked by gh","herramienta disponible","ALLOW","no imprimir token"
G1_LOCAL_STATE,git_local,PASS,"branch codex/multirepo-alignment-16 clean; HEAD 2b72e5f; local tag v0.6.0-rc1 points c818ae3a","workspace limpio; plan G0 queda encima del tag","ALLOW","mantener tag local como RC1 y plan fuera del tag"
G1_REMOTE_BRANCH,remote_branch,PASS,"codex/v0.6.0-rc1-governed-publication not found remotely","branch candidate disponible","ALLOW","G2 podria crear branch si owner resuelve labels"
G1_REMOTE_TAG,remote_tag,PASS,"v0.6.0-rc1 not found remotely","tag remoto disponible","ALLOW","no hacer tag push antes de PR/checks"
G1_OPEN_PRS,pull_requests,OBSERVED,"10 open Dependabot PRs #10-#18 and #22, all review required","ruido de PRs existente pero no conflicto directo con branch candidate","ALLOW_WITH_AWARENESS","no merge masivo; no aprobar dependabot por inferencia"
G1_OPEN_ISSUES,issues,OBSERVED,"issues #19 #20 #21 multirepo alignment open; issue #5 docs improvements open","issues alineados al carril multirepo","ALLOW_WITH_AWARENESS","referenciar si se abre PR"
G1_CORE_LABELS,labels,PASS,"dependencies, python, github-actions exist","Dependabot critical labels present","ALLOW","mantener"
G1_GOVERNANCE_LABELS,labels,BLOCKED,"missing release, gate, status/ready, status/blocked, status/review-required, surface/github, risk/secrets, risk/permissions","PR gobernado no tendria taxonomia completa segun plan","BLOCK_G2","crear o autorizar gate de labels antes de push branch"
G1_WORKFLOWS,workflows,OBSERVED,"active workflows: build-graph, codeql, meta-validate, promote, quality, Copilot, Copilot cloud agent, Dependabot Updates","checks y automatizaciones disponibles","ALLOW_WITH_AWARENESS","no workflow_dispatch"
G1_WORKFLOW_INPUTS,workflow_safety,PASS_WITH_NOTE,"promote.yml passes workflow_dispatch inputs through env before Bash; create-pull-request title/body still interpolate inputs outside shell","Bash injection risk mitigated for run steps; metadata interpolation remains observed","ALLOW_WITH_AWARENESS","no workflow_dispatch in this chain"
G1_CHECKOUT_DEPTH,workflow_safety,PASS_WITH_NOTE,"local workflows do not diff base/head SHA after shallow checkout; meta diff is workspace diff","reported shallow checkout risk not blocking for project-cdx workflows reviewed","ALLOW_WITH_AWARENESS","recheck if workflows change"
G1_PATH_FILTERS,workflow_safety,PASS_WITH_NOTE,"meta-validate and quality trigger on all PRs to main; build-graph paths include py, md, json, schema, pyproject and workflow","critical metadata/test checks not hidden by path filters","ALLOW","continue after label gate"
