"captured_at_local","solution_unique_name","componenttype","componenttype_name","component_count","safe_to_resolve","resolved_count","resolved_sample","classification","stop_condition"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","1","entity","9","True","9","cr3c_camposp|cr3c_camposps; cr3c_cr3c_spchoiceoption|cr3c_cr3c_spchoiceoptions; cr3c_cr3c_spfield|cr3c_cr3c_spfields; cr3c_cr3c_spcontainer|cr3c_cr3c_spcontainers; cr3c_cr3c_containercontenttype|cr3c_cr3c_containercontenttypes; cr3c_tipodecontenidosp|cr3c_tipodecontenidosps; cr3c_contenedorsp|cr3c_contenedorsps; cr3c_cr3c_spsite|cr3c_cr3c_spsites","metadata_public_resolved_or_attempted","payload_not_required"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10122","unknown_10122","8","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10123","unknown_10123","346","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10150","unknown_10150","7","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10212","unknown_10212","1","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10213","unknown_10213","13","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10220","unknown_10220","5","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10351","copilot_component_10351","3","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10352","copilot_component_10352","3","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:22:58-03:00","SPGovernanceModel","10353","copilot_component_10353","36","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:23:00-03:00","SPGovernanceModel","29","workflow","3","True","3","SDU_Work_Queue_Gate_Review_Handler; SDU_Process_Dataverse_Apply_Work_Items; SDU_Work_Queue_Evidence_Closeout","metadata_public_resolved_or_attempted","payload_not_required"
"2026-06-16T18:23:00-03:00","SPGovernanceModel","300","canvas_app","1","False","0","","metadata_count_only","payload_or_definition_not_opened"
"2026-06-16T18:23:03-03:00","SPGovernanceModel","380","environment_variable_definition","4","True","4","cr3c_SharePointSiteUrl; cr3c_GovernanceEnabled; cr3c_AutomationEnabled; cr3c_SourceEnvironment","metadata_public_resolved_or_attempted","payload_not_required"
"2026-06-16T18:23:06-03:00","SPGovernanceModel","381","environment_variable_value","4","True","4","be4bdebe-ad24-f111-88b3-000d3a34016d; e5c3d2e8-ad24-f111-88b3-000d3a34016d; 3c923625-ae24-f111-88b3-000d3a34016d; 9ad81b0f-ae24-f111-88b4-6045bd03c2bc","metadata_public_resolved_or_attempted","payload_not_required"
"2026-06-16T18:23:06-03:00","SPGovernanceModel","9","option_set","2","False","0","","metadata_count_only","payload_or_definition_not_opened"
