"path","root","extension","size_bytes","git_state","read_state","file_kind","theme_primary","theme_secondary","sdu_agent_owner","version_wave","gate_id","target_repo","surface","status_detected","live_boundary","owner_required","rollback_required","postcheck_required","canonical_role","reconciliation_decision","next_action","notes"
"inventarios/07_SHAREPOINT_POWER_PLATFORM_SGIN_SURFACE_MAP_20260616.csv","inventarios",".csv","3317","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","microsoft","codex;agents","Thot","0.1.x","","","Microsoft","","LOCAL_OR_UNSPECIFIED","false","false","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
"inventarios/07_SHAREPOINT_POWER_PLATFORM_SGIN_SURFACE_MAP_20260616.md","inventarios",".md","3557","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","microsoft","codex;workbook;agents","Thot","0.1.x","","","Microsoft","","LOCAL_OR_UNSPECIFIED","false","false","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
"inventarios/ACTAS_PAPELES_AGENTES_20260616.csv","inventarios",".csv","6503","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","github","dataverse;sdu-runtime;codex;workbook;agents;security-boundary;inventory","Anubis","0.1.x","","","GitHub","","LOCAL_OR_UNSPECIFIED","false","false","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
"inventarios/ACTAS_PAPELES_AGENTES_20260616.md","inventarios",".md","10929","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","github","dataverse;microsoft;sdu-runtime;codex;workbook;agents;security-boundary;inventory","Anubis","0.1.x","","","GitHub","","LOCAL_OR_UNSPECIFIED","false","false","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
"inventarios/AGENTES_SKILLS_RECETAS_20260616.md","inventarios",".md","4469","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","dataverse","microsoft;sdu-runtime;codex;agents;security-boundary;inventory","Anubis","0.1.x","","","Dataverse","","LOCAL_OR_UNSPECIFIED","true","true","true","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
"inventarios/AUDITAR_SURFACE_INDEX_20260615.csv","inventarios",".csv","4599","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","github","sdu-runtime;agents;multirepo;inventory","Maat","0.1.x","","","GitHub","","LOCAL_OR_UNSPECIFIED","false","false","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
"inventarios/CODEX_ROOT_INVENTORY.csv","inventarios",".csv","969","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","github","dataverse;codex;multirepo;inventory","Thot","0.5.x","","","GitHub","","LOCAL_OR_UNSPECIFIED","false","false","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
"inventarios/CODEX_ROOT_INVENTORY.md","inventarios",".md","1557","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","github","dataverse;codex;multirepo;inventory","Anubis","0.5.x","","","GitHub","","LOCAL_OR_UNSPECIFIED","false","true","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
"inventarios/CODEX_ROOT_INVENTORY.xlsx","inventarios",".xlsx","13653","TRACKED_CLEAN","INVENTORIED_ONLY","INVENTORY","inventory","","Maat","","","","Inventory","","LOCAL_OR_UNSPECIFIED","false","false","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","OPTIONAL_BINARY_INSPECTION","generated_by_local_reconciliation_scan_20260622"
"inventarios/CODEX_ROOT_MOVE_PLAN.json","inventarios",".json","1313","TRACKED_CLEAN","CONTENT_SCANNED","INVENTORY","codex","security-boundary","Anubis","","","","Codex","BLOCKED","LOCAL_OR_UNSPECIFIED","false","false","false","INVENTORY_LAYER","KEEP_INVENTORY_INDEX","KEEP_INDEXED","generated_by_local_reconciliation_scan_20260622"
