"captured_at_local","solution_unique_name","friendly_name","solution_id","is_managed","version","created_on","modified_on","classification","source"
"2026-06-16T17:57:17-03:00","Active","Solución activa","fd140aae-4df4-11dd-bd17-0019b9312238","False","1.0","27/11/2025 19:58:37","27/11/2025 19:58:37","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","Basic","Solución básica","25a01723-9f63-4449-a3e0-046cc23a2902","False","1.0","27/11/2025 19:58:37","27/11/2025 19:58:37","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","Cr54a74","Common Data Services Default Solution","00000001-0000-0000-0001-00000000009b","False","1.0.0.0","27/11/2025 20:13:11","27/11/2025 20:13:11","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","Default","Solución predeterminada","fd140aaf-4df4-11dd-bd17-0019b9312238","False","1.0","27/11/2025 19:58:37","27/11/2025 19:58:37","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","GestordeCopilotos","Gestor de Copilotos","ff454097-10e4-f011-8406-00224802e86d","False","1.0.0.0","28/12/2025 17:14:00","28/12/2025 17:14:00","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","MDE","MDE","f594c7be-5fe4-f011-8406-00224802e86d","False","1.0.0.0","29/12/2025 02:40:33","29/12/2025 02:50:59","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","sdu_runtime_control_plane","SDU Runtime Control Plane","6f6acd76-5467-f111-ab0d-00224805f8f9","False","1.0.1.0","13/6/2026 18:19:53","13/6/2026 18:19:53","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","SDUCapabilityControlPlane","SDU Capability Control Plane","f427dbab-2e5f-f111-a826-00224805f8f9","False","0.1.0.0","3/6/2026 09:29:09","3/6/2026 09:29:09","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","SPGovernanceModel","SP Governance Model ","9e0ad08a-ac24-f111-88b3-000d3a34016d","False","1.0.0.0","20/3/2026 22:31:36","20/3/2026 22:31:36","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AccessTeam","Equipo de acceso","83a8d6d7-a490-4793-8c61-4937f2628cf9","True","1.5.18.0","27/11/2025 21:49:51","27/11/2025 21:50:04","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","ActivityFeedsCore","Fuentes de actividades","d3335a94-eb36-495f-8685-502a9d0c6bb1","True","9.0.0.0011","28/11/2025 09:06:09","28/11/2025 09:09:13","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AdvancedAnalyticsInfra","Infraestructura de análisis avanzado","432c18a0-7bb4-4612-b8d0-490df23850dc","True","1.0.10.0","27/11/2025 21:37:18","27/11/2025 21:37:25","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AgentProductivityToolsAnchor","ProductivityTools","229fa33d-7087-4b22-aa88-5279f2ce7447","True","9.2.26054.1001","28/11/2025 08:04:26","30/5/2026 02:09:15","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","ApiMessagesExtension","API messages extension solution","5ac29020-e0f4-40fa-99c3-60ff46507ab1","True","1.0.2.0","27/11/2025 21:07:06","10/3/2026 05:23:53","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","ApiPrivilegeExtension","Api privilege extension solution","78533c9e-0759-4736-b328-f20425a51bf4","True","1.0.1.4","27/11/2025 21:07:57","18/4/2026 12:15:06","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AppElement","Elemento de aplicación basada en modelo","0d13e233-9ed0-4b59-9f71-b0e9c43c7f67","True","9.2.2603.2603182","27/11/2025 22:05:25","5/4/2026 17:34:29","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AppforOutlook","Aplicación Dynamics 365 para Outlook","5e3ba7cb-ff82-45e9-8daa-ca7500565a7f","True","1.2.13.0","28/11/2025 09:15:08","28/11/2025 09:16:48","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AppforOutlookPatch","Revisión de Dynamics 365 App for Outlook","ab2608d4-e444-4fdc-a822-c645c180ad2d","True","1.2.409","28/11/2025 09:17:32","18/4/2026 12:36:41","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","ApplicationUserSolution","ApplicationUserSolution","fb796b97-d34a-47b1-85f2-66fa75cff2b4","True","1.0.1.4","27/11/2025 22:11:20","27/11/2025 22:11:31","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AppModule","Aplicación basada en modelo","d7723b4e-55ab-4143-be25-b409113305e3","True","9.2.2603.2603182","27/11/2025 22:02:18","5/4/2026 17:33:38","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AppModuleMetadataSolution","Metadatos del módulo de la aplicación","78916cc4-e083-4fdd-8ea1-bcc9c8d8e2ec","True","9.2.2603.2603182","27/11/2025 22:07:01","5/4/2026 17:34:53","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AppModuleSolutionAnchor","Model-Driven App Anchor","d91e911d-002d-4ef1-972a-aa71e6e6b428","True","9.2.2603.2603182","27/11/2025 22:07:45","5/4/2026 17:35:03","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AppModuleWebResources","App Module Assets","2e0a4c42-89ec-422e-81b3-1b71b8d27bda","True","2.5","27/11/2025 22:15:48","27/11/2025 22:15:49","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AppNotifications","AppNotifications","8b9624dd-f0f1-4e91-a42d-82485a1ed71a","True","10.0.0.17","28/11/2025 01:16:38","1/3/2026 09:46:42","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AuthenticationExtension","AuthenticationExtension","1096ddde-a5c5-401d-a068-24a4b9f503b1","True","1.0.0.15","27/11/2025 21:09:45","27/11/2025 21:09:48","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AuthenticationExtensionApp_Anchor","AuthenticationExtensionApp Solution Anchor","82d28ef7-d70b-48c6-88ca-e481a60537f8","True","9.2.0.158","28/11/2025 01:08:29","28/11/2025 01:08:30","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AuthorizationCore","AuthorizationCore","3e3d0805-0258-4621-addb-d6d916c9bd40","True","1.131.0.0","27/11/2025 21:50:46","1/3/2026 09:34:28","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AutoDataCapture","AutoDataCapture","dc1d52dc-5c4e-49d4-b45a-878fcfe1b978","True","9.0.2604.10033","28/11/2025 08:43:41","13/5/2026 08:27:52","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AutomaticRecordCreation","Creación automática de registros para la aplicación Dynamics 365 Customer Service","d0cf51cc-c346-48fa-ba26-b5d06402a26d","True","9.1.26052.1004","28/11/2025 05:07:19","23/5/2026 08:08:37","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","AutomaticRecordCreationExtension","Creación automática de registros para la aplicación Dynamics 365 Customer Service","e7d7adf9-31ac-4842-911b-100b92f208a2","True","9.1.26052.1004","28/11/2025 05:08:54","23/5/2026 08:05:30","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","BackgroundJobs_Anchor","BackgroundJobs Solution Anchor","716afb30-00f5-469c-a80a-c920bb59f7f0","True","1.0.0.38","28/11/2025 00:30:25","28/11/2025 00:30:26","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","BackgroundServicesApp_Anchor","BackgroundServicesApp Solution Anchor","937f6218-179c-4186-b6b0-e8c144f48d32","True","1.0.0.0","28/11/2025 00:37:57","28/11/2025 00:37:58","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","BaseCustomControlsCore","Base Custom Controls Core","e758dc39-916e-4a7c-b10e-821cbedcea5f","True","9.0.2606.2007","27/11/2025 20:37:47","14/6/2026 20:26:39","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","BaseCustomControlsCoreExt","Base Custom Controls Core Extensions","b556b2db-9dda-4426-909e-319c4f515a2e","True","9.0.2110.1010","27/11/2025 20:36:55","27/11/2025 20:36:56","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","BulkDeleteApp_Anchor","BulkDeleteApp Solution Anchor","c407de97-d351-4024-996c-5cb0a9cd35b4","True","1.0.0.0","28/11/2025 00:34:11","28/11/2025 00:34:12","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","BulkDeleteExtensionSolution","BulkDelete Extension Solution","e4ed99b4-88fd-4537-a85e-b6252bd42a61","True","1.0.0.1","31/3/2026 05:16:28","31/3/2026 05:16:51","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","CallbackRegistrationApp_Anchor","CallbackRegistrationApp Solution Anchor","fdb4b2a8-8764-4cfc-bd75-1fa56aeef336","True","1.0.0.0","28/11/2025 00:25:50","28/11/2025 00:25:51","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","CanvasAppEntityExtensionSolution","Canvas App Entity Extension","6dbb11f1-32f8-4111-a4b7-4bf54e291943","True","9.2.2603.2603182","27/11/2025 22:06:10","5/4/2026 17:34:42","live_rows_confirmed","dataverse_webapi_solutions"
"2026-06-16T17:57:17-03:00","CanvasAppMetadataExtensionSolution","Extensión de metadatos de aplicación de lienzo","074c3079-e437-426e-8f23-547a3dae5da1","True","9.2.2603.2603182","27/11/2025 22:04:39","5/4/2026 17:34:06","live_rows_confirmed","dataverse_webapi_solutions"
