"captured_at_local","source_file","token_kind","token","candidate_count","classification","action","notes"
"2026-06-16T18:21:22-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","exact_site_url","https://escribaniabitsch.sharepoint.com/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:22-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","site_path","/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:23-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","site_name","sistema","2","candidate_count_many","needs_disambiguation","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:23-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","team_name","SGIN","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:23-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","group_id","2c52551d-e68a-4496-bf65-eadc3b976ebe","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:23-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","site_id","a9293a2b-df30-45ed-b80d-d71a86738143","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:24-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","sdu","SDU","2","candidate_count_many","needs_disambiguation","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:24-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","sp_governance","SPGovernance","1","candidate_count_one","ready_for_exact_review","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:24-03:00","DATAVERSE_SOLUTIONS_LIVE_20260616.csv","sharepoint","SharePoint","4","candidate_count_many","needs_disambiguation","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:25-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","exact_site_url","https://escribaniabitsch.sharepoint.com/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:25-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","site_path","/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:25-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","site_name","sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:25-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","team_name","SGIN","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:25-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","group_id","2c52551d-e68a-4496-bf65-eadc3b976ebe","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","site_id","a9293a2b-df30-45ed-b80d-d71a86738143","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","sdu","SDU","9","candidate_count_many","needs_disambiguation","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","sp_governance","SPGovernance","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKFLOWS_LIVE_20260616.csv","sharepoint","SharePoint","8","candidate_count_many","needs_disambiguation","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","exact_site_url","https://escribaniabitsch.sharepoint.com/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","site_path","/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","site_name","sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","team_name","SGIN","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","group_id","2c52551d-e68a-4496-bf65-eadc3b976ebe","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","site_id","a9293a2b-df30-45ed-b80d-d71a86738143","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","sdu","SDU","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","sp_governance","SPGovernance","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_BOTS_LIVE_20260616.csv","sharepoint","SharePoint","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","exact_site_url","https://escribaniabitsch.sharepoint.com/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","site_path","/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","site_name","sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","team_name","SGIN","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","group_id","2c52551d-e68a-4496-bf65-eadc3b976ebe","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","site_id","a9293a2b-df30-45ed-b80d-d71a86738143","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","sdu","SDU","8","candidate_count_many","needs_disambiguation","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","sp_governance","SPGovernance","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_WORKQUEUES_LIVE_20260616.csv","sharepoint","SharePoint","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_SDU_SGIN_SOLUTIONCOMPONENTS_20260616.csv","exact_site_url","https://escribaniabitsch.sharepoint.com/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_SDU_SGIN_SOLUTIONCOMPONENTS_20260616.csv","site_path","/sites/sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
"2026-06-16T18:21:26-03:00","DATAVERSE_SDU_SGIN_SOLUTIONCOMPONENTS_20260616.csv","site_name","sistema","0","candidate_count_zero","no_exact_candidate","Local metadata search only; no payloads, documents, secrets, or flow execution."
