"captured_at_local","name","workflowid","category","statecode","statuscode","type","created_on","modified_on","classification","source"
"2026-06-16T17:57:17-03:00","OCRuleItemConditionRule","2efebf66-9436-e911-8190-000d3a060d39","2","1","2","1","28/11/2025 10:47:50","28/11/2025 15:57:45","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Nueva regla de negocio","09ac9572-0dcc-e811-8158-000d3a065694","2","1","2","1","28/11/2025 03:49:29","26/2/2026 03:43:27","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Establecer la regla predeterminada de secuencia de trabajo de entidad de CDS","2f8a94b0-472f-e911-8185-000d3a06719e","2","1","2","1","28/11/2025 10:47:53","28/11/2025 15:57:47","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Establecer campos obligatorios según el campo ""Nombre del evento""","1fd975d8-9b3c-ea11-a81e-000d3a06f372","2","1","2","1","28/11/2025 10:47:53","28/11/2025 15:57:48","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Establecer la regla predeterminada de secuencia de trabajo de chat","4a27c71c-e62d-e911-8185-000d3a0704f0","2","1","2","1","27/5/2026 09:56:30","27/5/2026 10:06:55","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Capacidad predeterminada en función del origen de la secuencia","97985a82-8002-e911-816a-000d3a0712a1","2","1","2","1","28/11/2025 10:47:43","28/11/2025 15:57:49","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Simultaneidad máxima predeterminada en función del origen de la secuencia","499a8a16-8202-e911-816a-000d3a0712a1","2","1","2","1","28/11/2025 10:47:43","28/11/2025 15:57:50","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Nombre predeterminado de la secuencia de preguntas","a9c768e2-6c8b-e811-a962-000d3a18b000","2","1","2","1","27/5/2026 09:56:30","27/5/2026 10:06:54","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Comprobar el flujo de estado de sincronización de DV Copilot","569643d5-1941-ee11-be6e-000d3a1a83b6","5","0","1","1","28/11/2025 14:28:04","28/11/2025 14:28:04","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","IoT - Flujo - Alertas principales de IoT","01614ff6-17b7-ea11-a812-000d3a1ab78a","5","0","1","1","28/11/2025 05:55:04","28/11/2025 05:55:04","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","IoT - Flujo - Extracciones de datos del dispositivo programadas","829d9bbc-0fb7-ea11-a812-000d3a1ab88b","5","0","1","1","28/11/2025 05:55:04","28/11/2025 05:55:04","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Enviar una encuesta del bot de Microsoft Copilot Studio cuando se resuelva un caso en D365","7d81623e-7be8-ee11-a203-000d3a30e0b9","5","0","1","1","28/11/2025 10:09:00","28/11/2025 10:09:00","live_rows_confirmed","dataverse_webapi_workflows"
"2026-06-16T17:57:17-03:00","Nueva regla de negocio","a9037a38-53ef-e911-a986-000d3a310d9c","2","1","2","1","28/11/2025 11:12:38","28/11/2025 15:57:51","live_rows_confirmed","dataverse_webapi_workflows"
