"RootLabel","Kind","Family","Canonical","Alias","Purpose","SourcePath","Notes"
".agents/plugins","plugin","Plugins","operativa-guardian","","Productivity plugin disponible via marketplace.json; instalación AVAILABLE, auth ON_INSTALL.","./.codex/plugins/operativa-guardian","marketplace.json -> ./.codex/plugins/operativa-guardian"
".agents/skills","skill","Descubrimiento / planificacion / subagentes","tcu-desarrollo-con-subagentes","subagent-driven-development","Use when executing implementation plans with independent tasks in the current session","C:\Users\enzo1\.agents\skills\subagent-driven-development\SKILL.md","alias de archivo: subagent-driven-development"
".agents/skills","skill","Descubrimiento / planificacion / subagentes","tcu-descubridor-capacidades","find-skills","Helps users discover and install agent skills when they ask questions like ""how do I do X"", ""find a skill for X"", ""is there a skill that can..."", or express interest in extending capabilities. This skill should be used when the user is looking for functionality that might exist as an installable skill.","C:\Users\enzo1\.agents\skills\find-skills\SKILL.md","alias de archivo: find-skills"
".agents/skills","skill","Descubrimiento / planificacion / subagentes","tcu-despacho-agentes-paralelos","dispatching-parallel-agents","Use when facing 2+ independent tasks that can be worked on without shared state or sequential dependencies","C:\Users\enzo1\.agents\skills\dispatching-parallel-agents\SKILL.md","alias de archivo: dispatching-parallel-agents"
".agents/skills","skill","Descubrimiento / planificacion / subagentes","tcu-planificador-con-archivos","planning-with-files","Implements Manus-style file-based planning to organize and track progress on complex tasks. Creates task_plan.md, findings.md, and progress.md. Use when asked to plan out, break down, or organize a multi-step project, research task, or any work requiring 5+ tool calls. Supports automatic session recovery after /clear.","C:\Users\enzo1\.agents\skills\planning-with-files\SKILL.md","alias de archivo: planning-with-files"
".agents/skills","skill","Descubrimiento / planificacion / subagentes","tcu-redactor-planes-operativos","writing-plans","Use when you have a spec or requirements for a multi-step task, before touching code","C:\Users\enzo1\.agents\skills\writing-plans\SKILL.md","alias de archivo: writing-plans"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-auditor-flujos-cola","rey-modo-flow-workqueue-auditor","Audita Power Platform, solucion ModoOn_UniversoDeclarativo_Flows y familia WorkQueue v03 sin crear ni activar flows.","C:\Users\enzo1\.agents\skills\rey-modo-flow-workqueue-auditor\SKILL.md","alias de archivo: rey-modo-flow-workqueue-auditor"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-auditor-sharepoint-seguro","rey-modo-sharepoint-safety-auditor","Ejecuta inventario SharePoint read-only y prepara writes gateados con rollback sin tocar permisos ni InternalName.","C:\Users\enzo1\.agents\skills\rey-modo-sharepoint-safety-auditor\SKILL.md","alias de archivo: rey-modo-sharepoint-safety-auditor"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-auditor-taxonomia-contenttypes","rey-modo-taxonomy-contenttype-auditor","Audita metadata, taxonomia, value sets y content types de Rey Modo separando real, propuesta, NO_CONSTA y gate.","C:\Users\enzo1\.agents\skills\rey-modo-taxonomy-contenttype-auditor\SKILL.md","alias de archivo: rey-modo-taxonomy-contenttype-auditor"
".agents/skills","skill","REY-MODO / gobierno","rey-modo-auditor-vscode-insiders","rey-modo-vscode-insiders-auditor","Audita la cabina VS Code Insiders, settings no destructivos, carpetas, exclusiones y relacion con Codex Local.","C:\Users\enzo1\.agents\skills\rey-modo-vscode-insiders-auditor\SKILL.md","alias de archivo: rey-modo-vscode-insiders-auditor"
