"repo_id","repository_full_name","local_path","universe_id","owner_agent","runtime_alignment_purpose","default_skill_refs","default_recipe_refs","default_tool_refs","default_plugin_refs","runtime_mode","github_required","root_base_repo_id","root_base_remote","blocked_surfaces","status"
"D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","C:/Users/enzo1/Documents/GitHub/cabina-universal-d","ROOT_CONTROL_PLANE","rey.control_plane_orchestrator","repo root transversal","rey-modo-gobernador-capacidades|tcu-descubridor-capacidades|tcu-redactor-planes-operativos|tcu-planificador-con-archivos|matrix-recipe-skill-sync|cabina-agent-md-refactor|cabina-commit-work|cabina-github-actions-templates|cabina-session-handoff","recipe.repo_universe_alignment_runtime","tool.repo_alignment_runtime|tool.github_versioning_flow","Superpowers|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"ORGANIZACION","universo-rey/organizacion","C:/Users/enzo1/Documents/GitHub/organizacion","ROOT_CONTROL_PLANE","rey.governance_registrar","repo rector documental separado indexado por cabina-universal-d","tcu-descubridor-capacidades|rey-modo-gobernador-capacidades|tcu-redactor-planes-operativos|d-drive-agent-layer-enrichment|cabina-naming-analyzer|cabina-session-handoff","recipe.registry_enrichment","tool.csv_registry_check","Superpowers|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"TORRE_GEMELA_ESCRIBANIA","SeshatSgin/torre-gemela-escribania","C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania","ESCRIBANIA","universe.escribania_tower","TGE canon y superficie Escribania indexada por cabina-universal-d","tcu-descubridor-capacidades|sharepoint:sharepoint-site-discovery|rey-modo-gobernador-capacidades","recipe.universe_tower_handoff","tool.surface_order_builder","Superpowers|SharePoint|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"TGE_AGENTIC_RUNTIME","SeshatSgin/tge-agentic-runtime-control-escribania","C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania","ESCRIBANIA","universe.escribania_tower","runtime contextual Escribania indexado por cabina-universal-d","tcu-descubridor-capacidades|tcu-harness-evals-agentes|matrix-recipe-skill-sync|cabina-session-handoff","recipe.repo_universe_alignment_runtime","tool.repo_alignment_runtime","Superpowers|OpenAI Developers|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"SGIN_CUMPLIMIENTO","SeshatSgin/sgin-cumplimiento","C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento","ESCRIBANIA","universe.escribania_tower","cumplimiento Escribania indexado por cabina-universal-d","tcu-descubridor-capacidades|governed-readback-closeout|rey-modo-evidencia-riesgo-handoff","recipe.evidence_acta_closeout","tool.readback_builder","Superpowers|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"CDF_SOLUCIONES","SeshatSgin/cdf-soluciones","C:/Users/enzo1/Documents/GitHub/cdf-soluciones","MODO_ON","universe.modo_on_tower","proveedor CDF Microsoft y agentes indexado por cabina-universal-d","tcu-descubridor-capacidades|tcu-normalizador-sistema-modo-on|sharepoint:sharepoint","recipe.universe_tower_handoff","tool.provider_boundary_check","Superpowers|SharePoint|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"JARA_CONSULTORES","SeshatSgin/jara-consultores","C:/Users/enzo1/Documents/GitHub/jara-consultores","MODO_ON","universe.modo_on_tower","proveedor consultivo Jara indexado por cabina-universal-d","tcu-descubridor-capacidades|tcu-normalizador-sistema-modo-on|governed-readback-closeout","recipe.universe_tower_handoff","tool.provider_boundary_check","Superpowers|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"MODO_ON_FOUNDATION","SeshatSgin/modo-on-foundation","C:/Users/enzo1/Documents/GitHub/modo-on-foundation","MODO_ON","universe.modo_on_tower","foundation Modo ON indexada por cabina-universal-d","tcu-descubridor-capacidades|tcu-normalizador-sistema-modo-on|rey-modo-gobernador-capacidades","recipe.universe_tower_handoff","tool.provider_boundary_check","Superpowers|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"SDU_CANON","SeshatSgin/sdu-canon","C:/Users/enzo1/Documents/GitHub/sdu-canon","COURT","court.sdu_gate","canon SDU indexado por cabina-universal-d","tcu-descubridor-capacidades|sdu-ejecutor-gates|repo-agent-tool-governance|cabina-agent-md-refactor","recipe.gate_decision_packet","tool.stop_condition_check","Superpowers|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
"SESHAT_BOOTSTRAP","SeshatSgin/seshat-bootstrap-sdu-cn","C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn","COURT","court.seshat_evidence","bootstrap Seshat SDU CN indexado por cabina-universal-d","tcu-descubridor-capacidades|rey-modo-evidencia-riesgo-handoff|tcu-planificador-con-archivos|tcu-harness-evals-agentes|cabina-session-handoff","recipe.governed_readback_closeout","tool.readback_builder","Superpowers|GitHub","LOCAL_SYNTHETIC_ALIGNMENT_ONLY","yes","D_CABINA_UNIVERSAL_ROOT","universo-rey/cabina-universal-d","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge_without_approved_precheck|remote_agent_persistence","READY_FOR_LOCAL_RUNTIME_ALIGNMENT"
