layer_id,layer,verified_fact,scope,evidence,risk,gate,next_action,validator,stop_condition
vsi.deep.install,install_and_version,"VS Code Insiders CLI is available at C:\Users\enzo1\AppData\Local\Programs\Microsoft VS Code Insiders\bin\code-insiders.cmd; version 1.124.0-insider",local,"code-insiders --version; prior cartography evidence",low,none,"keep VSI as primary cabina editor","code-insiders --version",EXECUTED_LOCAL_VALIDATED
vsi.deep.extensions,extension_catalog,"113 extensions detected and grouped by operational lane",local,"extensions-deep-map.csv; extension-group-summary.csv",medium,none,"review extension groups before adding or disabling extensions","code-insiders --list-extensions --show-versions",EXECUTED_LOCAL_VALIDATED
vsi.deep.agent_ai,agent_ai_extension_layer,"33 agent/AI-related extensions detected; total installed extension footprint about 1080.42 MB",local,"extension-group-summary.csv",medium,GATE_SECRET_USE,"separate local helper extensions from live/cost/secret-capable agent runtimes before activation","extension group inventory",PENDING_APPROVAL_ONLY
vsi.deep.microsoft_cloud,microsoft_azure_power_layer,"Azure group has 8 extensions, Microsoft 365/Power group has 14 extensions, Google Cloud group has 3 extensions",local_to_live_gated,"extension-group-summary.csv",high,GATE_MICROSOFT_LIVE_WRITE;GATE_POWER_PLATFORM_APPLY;GATE_CLOUD_WRITE;GATE_COST_BOUNDARY,"treat all cloud/provider extensions as UI/tooling only until exact target and rollback exist","surface gate matrix",PENDING_APPROVAL_ONLY
vsi.deep.dev_runtime,developer_runtime_layer,"Go, Rust, CMake, CSharp, Python/Jupyter and Terraform extension groups are present",local,"extension-group-summary.csv",low,none,"use these for local build/test/smoke lanes before cloud deploy","local tool version smokes",EXECUTED_LOCAL_VALIDATED
vsi.deep.global_storage,global_storage_metadata,"globalStorage has 22 owner folders and about 1068.94 MB total; values and raw storage were not copied",local_metadata,"global-storage-owner-sizes.csv; final-vscode-insiders-surface-deep-map-summary.json",medium,GATE_DESTRUCTIVE_ACTION;GATE_SECRET_USE,"review top owner folders before any cleanup; no deletion authorized by this map","storage owner metadata",PENDING_APPROVAL_ONLY
vsi.deep.workspace_storage,workspace_storage_metadata,"workspaceStorage has 23 folders and about 110.30 MB total; workspace names were reduced to sanitized hints",local_metadata,"workspace-storage-sanitized.csv",medium,GATE_DESTRUCTIVE_ACTION;GATE_DATA_REGULATED,"preserve workspaceStorage until active workspaces are confirmed stale","workspace storage metadata",PENDING_APPROVAL_ONLY
vsi.deep.settings_keys,settings_key_inventory,"184 setting keys detected; settings values were not captured and raw settings were not copied",local_metadata,"settings-keys-sanitized.csv; settings-prefix-summary.csv",medium,GATE_SECRET_USE,"use key-only inventory for routing; request gate before raw settings export","settings key inventory",EXECUTED_LOCAL_VALIDATED
vsi.deep.processes,process_inventory,"VSI process inventory was kept as metadata; no process was closed",local_metadata,"process-summary.csv",medium,GATE_DESTRUCTIVE_ACTION,"do not restart or close VSI until unsaved work risk is checked","process summary",PENDING_APPROVAL_ONLY
vsi.deep.security_boundary,security_boundary,"No files were deleted, no raw storage copied, no raw settings copied, no processes closed and no secrets touched",governance,"final-vscode-insiders-surface-deep-map-summary.json",low,GATE_SECRET_USE;GATE_DESTRUCTIVE_ACTION,"keep future VSI work in metadata-only mode until exact cleanup or live action is approved","local_validate_agent_layer.ps1 secret scan",EXECUTED_LOCAL_VALIDATED
