plane_id,plane_name,purpose,input,output,owner_agent,required_skill,required_recipe,tool_or_command,validator,evidence,auto_executable,human_gate_required,blocked_surfaces,next_plane,stop_condition
P01_INTAKE,PLANO_DE_INTAKE,recibir_orden_y_formar_paquete_de_intake,user_order|thread_context,intake_packet,rey.control_plane_orchestrator,tcu-descubridor-capacidades,recipe.router_intake_classification,tool.local_inventory,.agents/codex/tools/local_validate_capability_use_hardening.ps1,intake_capability_chain,true,none,secrets|production|microsoft_live|openai_api_live,P02_CLASSIFICATION,capability_use_preflight_missing
P02_CLASSIFICATION,PLANO_DE_CLASIFICACION,clasificar_superficie_repo_universo_riesgo_y_frontera,intake_packet,classification_packet,rey.frontier_guardian,repo-agent-tool-governance,recipe.gate_decision_packet,tool.boundary_check,.agents/codex/tools/local_validate_capability_use_hardening.ps1,frontier_decision,true,critical_surface,microsoft_live_write|production|permission_change|tenant_write|secrets,P03_AGENTS,capability_use_preflight_missing
P03_AGENTS,PLANO_DE_AGENTES,asignar_owner_reviewer_runtime_y_evidence_agent,classification_packet,agent_assignment,rey.control_plane_orchestrator,tcu-descubridor-capacidades,recipe.parallel_agent_operation,tool.parallel_dispatch_policy_check,.agents/codex/tools/local_validate_operational_chain.ps1,agent_assignment_readback,true,none,remote_agent_persistence_without_order|self_approval|secrets,P04_SKILLS,operational_chain_missing
P04_SKILLS,PLANO_DE_SKILLS,resolver_skills_reales_o_marcar_no_disponible,agent_assignment,skill_resolution,court.thot_schema,matrix-recipe-skill-sync,recipe.matrix_recipe_skill_sync,tool.local_validate_skill_metadata,.agents/codex/tools/local_validate_skill_metadata.ps1,skill_resolution_matrix,true,none,invented_skill|openai_api_live|microsoft_live|production|secrets,P05_RECIPES,skill_metadata_missing_or_ambiguous
P05_RECIPES,PLANO_DE_RECETAS,seleccionar_receta_existente_y_evitar_duplicacion,skill_resolution,recipe_selection,court.openai_dispatcher,matrix-recipe-skill-sync,recipe.matrix_recipe_skill_sync,tool.local_validate_agent_layer,.agents/codex/tools/local_validate_agent_layer.ps1,recipe_index_evidence,true,none,recipe_without_index_or_owner|production|secrets,P06_CODEX_CLOUD,recipe_index_missing_file
P06_CODEX_CLOUD,PLANO_DE_CODEX_CLOUD,decidir_local_codex_cloud_readonly_o_gate,recipe_selection,runtime_route,court.openai_dispatcher,openai-developers:agents-sdk,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,codex_cloud_status_diff_or_no_disponible,true,codex_cloud_apply,secret_materialization|codex_cloud_apply_without_review|openai_api_live|microsoft_live|production,P07_GIT_LOCAL,codex_cloud_environment_missing
P07_GIT_LOCAL,PLANO_DE_GIT_LOCAL,resolver_root_rama_codex_diff_y_stage_explicito,runtime_route,local_git_packet,rey.repo_cartographer,cabina-commit-work,recipe.github_pr_lifecycle_governed,tool.github_versioning_flow,.agents/codex/tools/local_validate_github_automation_preflight.ps1,branch_diff_stage_evidence,true,none,git_add_dot|force_push|core_worktree_change|remote_change|secrets,P08_GITHUB,github_order_missing_checks
P08_GITHUB,PLANO_DE_GITHUB,push_pr_checks_ready_y_merge_precheck_con_head_fijo,local_git_packet,github_pr_packet,rey.repo_cartographer,github:github,recipe.github_pr_lifecycle_governed,tool.github_versioning_flow,.agents/codex/tools/local_validate_github_automation_preflight.ps1,pr_checks_head_evidence,true,merge_precheck,merge_without_approved_precheck|force_push|remote_branch_delete|permission_change|secrets,P09_VALIDATION,automated_merge_precheck_failed
P09_VALIDATION,PLANO_DE_VALIDACION,ejecutar_validadores_y_change_aware_full_coverage,github_pr_packet,validation_result,court.thot_schema,superpowers:verification-before-completion,recipe.schema_tool_contract,tool.local_run_change_aware_full_coverage_orchestrator,.agents/codex/tools/local_run_change_aware_full_coverage_orchestrator.ps1,change_aware_audit,true,none,coverage_reduction|hidden_flaky|secret_materialization,P10_FAN_IN,coverage_equivalence_missing
P10_FAN_IN,PLANO_DE_FAN_IN,reconciliar_cambios_indices_canon_estado_y_dependencias,validation_result,fan_in_packet,rey.authority_canonist,matrix-recipe-skill-sync,recipe.matrix_recipe_skill_sync,tool.local_validate_agent_layer,.agents/codex/tools/local_validate_agent_layer.ps1,index_canon_reconciliation,true,none,history_deletion|duplicate_capability|unindexed_artifact|secrets,P11_GATES,constitution_drift
P11_GATES,PLANO_DE_GATES,detectar_frontera_critica_y_preparar_gate_humano,fan_in_packet,gate_decision,rey.frontier_guardian,repo-agent-tool-governance,recipe.gate_decision_packet,tool.stop_condition_check,.agents/codex/tools/local_validate_order_packets.ps1,gate_packet_or_no_gate,true,critical_surface,production|microsoft_live_write|openai_api_live|permission_change|tenant_write|secrets,P12_EVIDENCE,order_packet_missing_required_fields
P12_EVIDENCE,PLANO_DE_EVIDENCIA,registrar_evidencia_saneada_y_verificable,gate_decision,evidence_packet,court.seshat_evidence,governed-readback-closeout,recipe.evidence_acta_closeout,tool.readback_builder,.agents/codex/tools/local_validate_agent_layer.ps1,sanitized_evidence,true,none,raw_regulated_data_dump|secret_materialization|external_record_write,P13_READBACK,missing_evidence
P13_READBACK,PLANO_DE_READBACK,emitir_cierre_accionable_con_rollback_y_stop_condition,evidence_packet,readback_packet,court.seshat_evidence,governed-readback-closeout,recipe.governed_readback_closeout,tool.readback_builder,.agents/codex/tools/local_validate_operational_chain.ps1,readback_closeout,true,none,unverified_completion|missing_rollback|missing_stop_condition|secrets,P14_OBSERVABILITY,closeout_without_readback
P14_OBSERVABILITY,PLANO_DE_OBSERVABILIDAD,confirmar_salud_local_remota_y_bloqueos_externos,readback_packet,health_packet,court.thot_schema,superpowers:verification-before-completion,recipe.schema_tool_contract,tool.local_run_governance_validation_suite,.agents/codex/tools/local_run_governance_validation_suite.ps1,health_status_or_external_blocker,true,none,unclassified_external_blocker|secret_materialization|production,P15_EVOLUTION,capability_use_preflight_missing
P15_EVOLUTION,PLANO_DE_EVOLUCION,producir_proximo_carril_o_finalizar_sin_deuda_implicita,health_packet,evolution_packet,rey.authority_canonist,governed-readback-closeout,recipe.governed_readback_closeout,tool.local_validate_cabina_full_automation_planes,.agents/codex/tools/local_validate_cabina_full_automation_planes.ps1,next_lane_or_done,true,none,implicit_debt|unregistered_drift|secrets,END,operational_chain_missing
