artifact_path,classification,quarantine_status,quarantine_scope,detected_patterns,allowed_use,blocked_use,owner_agent,reviewer_agent,validator,evidence,status,live_executed,external_sync,stop_condition
.agileagentcanvas-context/solutioning/requirements.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|Focus Mode|SOC 2|10000|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/solutioning/architecture.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD|Focus Mode|SOC 2|10000|WebSocket|SaaS,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/change-proposal.json,demo_quarantine,DEMO_QUARANTINE,full_file,Focus Mode|WebSocket,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/code-review.json,demo_quarantine,DEMO_QUARANTINE,full_file,Task CRUD,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/definition-of-done.json,demo_quarantine,DEMO_QUARANTINE,full_file,TaskFlow,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/project-context.json,demo_quarantine,DEMO_QUARANTINE,full_file,TaskFlow|SaaS,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/project-overview.json,demo_quarantine,DEMO_QUARANTINE,full_file,Focus Mode|TaskFlow|10000|SaaS,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/readiness-report.json,drift_reference,DRIFT_REFERENCE_CONTROLLED,field_reference,TaskFlow,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/research.json,demo_quarantine,DEMO_QUARANTINE,full_file,Focus Mode|10000,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
.agileagentcanvas-context/bmm/retrospective.json,drift_reference,DRIFT_REFERENCE_CONTROLLED,field_reference,TaskFlow,read_only_drift_evidence,active_canvas_context|requirements_source|architecture_source|testing_source,codex.workspace_guardian,court.seshat_evidence,scripts/validators/agile_canvas_demo_quarantine_validator.py,Carril A read-only scan 2026-06-08,CONTROLLED,false,false,demo_drift_reconciled_or_quarantined
