native_agent_id,display_name,title,module,native_manifest_path,native_agent_path,surface,agent_class,authority_boundary,available_in_board,governance_relation,status,activation_status,activation_mode,direct_invocation_from_codex,activation_evidence,stop_condition
master,BMad Master,"BMad Master Executor, Knowledge Custodian, and Workflow Orchestrator",core,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/core/agents/bmad-master.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
canvas-integrator,Morph,Agile Canvas Integrator,core,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/core/agents/canvas-integrator.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
analyst,Mary,Business Analyst,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/analyst.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
architect,Winston,Architect,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/architect.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
dev,Amelia,Developer Agent,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/dev.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
pm,John,Product Manager,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/pm.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
qa,Quinn,QA Engineer,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/qa.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
quick-flow-solo-dev,Barry,Quick Flow Solo Dev,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/quick-flow-solo-dev.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
sm,Bob,Scrum Master,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/sm.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
tech-writer,Paige,Technical Writer,bmm,C:/Users/enzo1/.vscode-insiders/extensions/msayedshokry.agileagentcanvas-0.5.2/resources/_aac/_config/agent-manifest.csv,_aac/bmm/agents/tech-writer/tech-writer.md,vscode_insiders_agile_agent_canvas,native_aac_agent,tablero_native_not_cabina_authority,true,governed_by_cabina_only_when_invoked_from_repo_scope,AVAILABLE_NATIVE_AAC_AGENT,ACTIVE_AAC_NATIVE_TEAM_GOVERNED,repo_local_board_activation,false,package_json_language_model_tools_and_chat_participant_manifest_read,aac_native_agent_direct_invocation_unavailable
