"work_item_id","projection_status","candidate_count","tuple_contradiction","exact_rector_id","current_binding","adjudication_class","retirement_decision","retirement_status","source_authority","target_surface","validator","provenance","rollback","postcheck","stop_condition"
"CONTROL_PLANE-ACTOR-001","DERIVED_NOT_IMPORTED","1","legacy owner is evidence artifact rather than current agent","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"CONTROL_PLANE-ACTOR-002","DERIVED_NOT_IMPORTED","1","legacy owner is evidence matrix rather than current agent","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"CONTROL_PLANE-ACTOR-003","DERIVED_NOT_IMPORTED","1","legacy owner is source matrix rather than current agent","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"ESCRIBANIA-ACTOR-004","DERIVED_NOT_IMPORTED","1","legacy owner is dated readback rather than current agent","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"CODEX_CLOUD-ACTOR-010","DERIVED_NOT_IMPORTED","0","Codex Cloud title conflicts with planner_write_recipe and GATE_PLANNER_WRITE","NONE","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_PLANNER_WRITE","ACTOR_COURT","NO_INFERENCE_EXACTNESS","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7; catalog:947A02F204422B2A633DE433735EBFF815E7DBE17618E6A9FF27D7AFE36F92C4","Remove this repo-local row only.","candidate_count stays 0; no rector id or binding created.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"CONTROL_PLANE-ACTOR-011","DERIVED_NOT_IMPORTED","1","NOC title conflicts with github_repo_recipe and SharePoint gate","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_SHAREPOINT_WRITE","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"CONTROL_PLANE-ACTOR-012","DERIVED_NOT_IMPORTED","1","Watchdog title conflicts with cloud_contracts objective","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"CONTROL_PLANE-ACTOR-013","DERIVED_NOT_IMPORTED","1","Analytics title conflicts with noc_publish objective","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"CONTROL_PLANE-ACTOR-014","DERIVED_NOT_IMPORTED","1","QA title conflicts with watchdog_bus objective","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"CONTROL_PLANE-ACTOR-015","DERIVED_NOT_IMPORTED","1","Conflict Resolver title conflicts with qa_barrier objective","NONE_MATERIALIZED","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","CSV_EXACTNESS_13_OF_13","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7","Remove this repo-local row only.","Source retirement receipt required; source queue unchanged.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"GITHUB-ACTOR-009","DERIVED_NOT_IMPORTED","0","GitHub title conflicts with sharepoint_write_recipe and Cloud gate","NONE","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","NO_INFERENCE_EXACTNESS","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7; catalog:947A02F204422B2A633DE433735EBFF815E7DBE17618E6A9FF27D7AFE36F92C4","Remove this repo-local row only.","candidate_count stays 0; no repo remote branch HEAD rector id or binding created.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"MICROSOFT_365-ACTOR-006","DERIVED_NOT_IMPORTED","0","Dataverse title conflicts with acta_y_readback and Cloud gate","NONE","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","NO_INFERENCE_EXACTNESS","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7; catalog:947A02F204422B2A633DE433735EBFF815E7DBE17618E6A9FF27D7AFE36F92C4","Remove this repo-local row only.","candidate_count stays 0; no environment entity row rector id or binding created.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
"MICROSOFT_365-ACTOR-008","DERIVED_NOT_IMPORTED","0","Planner title conflicts with dataverse_write_recipe and Cloud gate","NONE","NO","STALE_POLICY_PROJECTION","RETIRE_AS_STALE","PENDING_SOURCE_OWNER_RETIREMENT","GATE_CODEX_CLOUD_CONNECT","ACTOR_COURT","NO_INFERENCE_EXACTNESS","queue:8CF83EE9A3CC8942A79514760D63322A2ED8C2B849EE07998A92CF3DDD553FA7; catalog:947A02F204422B2A633DE433735EBFF815E7DBE17618E6A9FF27D7AFE36F92C4","Remove this repo-local row only.","candidate_count stays 0; no tenant plan task bucket rector id or binding created.","candidate_promoted_by_inference|source_queue_mutation|scope_overlap"
