lane_id,target_label,repo_id,repository_full_name,local_path,codex_cloud_environment_label,task_id,cloud_status,files_changed,decision,scope_classification,openai_api_key_status,openai_api_smoke,plugin_status,allowed_actions,blocked_actions,owner_agent,reviewer_agent,skill,recipe,tool,evidence,validator,risk,rollback,stop_condition,next_lane
codex_cloud_live.cabina_universal,cabina universal,D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,universo-rey/cabina-universal-d,task_e_6a1f119843d4832e9ed821834222c003,READY,0,FINALIZED_NOW,repo_native_root,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status|codex_cloud_diff_no_apply|openai_api_smoke_metadata_only,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review|secret_printing,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-developers:openai-platform-api-key|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane|plugin:openai_platform_connector,codex_cloud_list_json|codex_cloud_status_ready|D:/.env.local_ignored|openai_models_status_200,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,api_key_local_only_not_repo_secret,remove_D_env_local_if_revoked,secret_detected|api_or_remote_agent_requested,ready_for_governed_codex_cloud_exec_readonly_when_ordered
codex_cloud_live.cdf_soluciones,cdf soluciones,CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,SeshatSgin/cdf-soluciones,task_e_6a1f449fb378832eb39503e3c5a212bf,READY,0,FINALIZED_NOW,repo_native_target,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status|codex_cloud_diff_no_apply,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,codex_cloud_list_json|task_e_6a1f449fb378832eb39503e3c5a212bf_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,cdf_cloud_apply_requires_diff_review,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,secret_detected|codex_environment_creation_tool_unavailable,remote_checks_elevation_pending_if_ci_required
codex_cloud_live.tge,tge,TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,SeshatSgin/torre-gemela-escribania,task_e_6a1f44bae1d8832eb16cef684dcc5048,READY,0,FINALIZED_NOW,repo_native_target_regulated_boundary,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status|codex_cloud_diff_no_apply,secrets|microsoft_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,codex_cloud_list_json|task_e_6a1f44bae1d8832eb16cef684dcc5048_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,regulated_data_boundary_must_remain_explicit,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,regulated_data_boundary_unclear|secret_detected,only_metadata_or_governed_readonly_tasks_until_boundary_order
codex_cloud_live.seshat,seshat,SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,SeshatSgin/seshat-bootstrap-sdu-cn,task_e_6a1f44d350a4832eae44f048539ca357,READY,0,FINALIZED_NOW,repo_native_target,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status|codex_cloud_diff_no_apply,secrets|microsoft_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,codex_cloud_list_json|task_e_6a1f44d350a4832eae44f048539ca357_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,sharepoint_real_read_requires_separate_order,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,regulated_data_boundary_unclear|secret_detected,sharepoint_complete_read_order_remains_separate
codex_cloud_live.agentic_tcu_runtime,agentic,TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,SeshatSgin/tcu-agentic-runtime-control,task_e_6a1f44d34a58832e89c7c72b0e56f45f,READY,0,FINALIZED_NOW,repo_native_agentic_target,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status|codex_cloud_diff_no_apply,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review|remote_agent_persistence,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-developers:agents-sdk|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,codex_cloud_list_json|task_e_6a1f44d34a58832e89c7c72b0e56f45f_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,remote_agent_persistence_still_requires_order,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,secret_detected|codex_environment_creation_tool_unavailable,agents_sdk_live_only_under_separate_governed_order
codex_cloud_live.agentic_tge_runtime,agentic,TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,SeshatSgin/tge-agentic-runtime-control-escribania,task_e_6a1f44bae02c832e9fe54ad8744caeec,READY,0,FINALIZED_NOW,repo_native_agentic_target,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status|codex_cloud_diff_no_apply,secrets|microsoft_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review|remote_agent_persistence,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|openai-developers:agents-sdk|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,codex_cloud_list_json|task_e_6a1f44bae02c832e9fe54ad8744caeec_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,regulated_agentic_surface_requires_order,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,regulated_data_boundary_unclear|secret_detected,agents_sdk_live_only_under_separate_governed_order
codex_cloud_live.organizacion,organizacion,ORGANIZACION,universo-rey/organizacion,C:/Users/enzo1/Documents/GitHub/organizacion,universo-rey/organizacion,task_e_6a1f4b4d699c832ea45166ff611319da,READY,0,FINALIZED_NOW,repo_native_target,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status|codex_cloud_diff_no_apply,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,codex_cloud_list_json|task_e_6a1f4b4d699c832ea45166ff611319da_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,root_registry_separation_must_be_preserved,repo_native_pr_revert|delete_environment_from_codex_settings_if_created,secret_detected,registry_repo_cloud_tasks_ready_readonly
codex_cloud_live.tcu_control_plane,tuc/TCU,TCU_CONTROL_PLANE,SeshatSgin/tcu-control-plane,C:/Users/enzo1/Documents/GitHub/tcu-control-plane,SeshatSgin/tcu-control-plane,task_e_6a1f144c06cc832e9ae317ce8ca0f1e0,READY,0,FINALIZED_AS_OUT_OF_BASE_REFERENCE,out_of_base_reference_target,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status|codex_cloud_diff_no_apply,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades|superpowers:verification-before-completion,recipe.codex_cloud_governed_lane|recipe.repo_agent_tool_governance,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,codex_cloud_list_json|task_e_6a1f144c06cc832e9ae317ce8ca0f1e0_ready_files_changed_0|out_of_base_path_verified,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,out_of_base_not_absorbed_by_D_root,delete_environment_from_codex_settings_if_created,source_uncertain|secret_detected,keep_as_reference_lane_not_D_root_repo_native
codex_cloud_live.sgin,rest pending,SGIN,universo-rey/Sgin,C:/Users/enzo1/Documents/GitHub/Sgin,Sgin,task_e_6a1f144bfee4832ebe5523def080f921,READY,0,PENDING_BY_SCOPE,non_target_ready,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status_only,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,codex_cloud_list_json|task_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,not_in_user_target_set,NO_APLICA,github_order_missing_checks,next_scope_order_required
codex_cloud_live.sgin_cumplimiento,rest pending,SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,SeshatSgin/sgin-cumplimiento,task_e_6a1f4ee18c3c832eb9f0a6dbc427e65b,READY,0,PENDING_BY_SCOPE,non_target_ready,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status_only,secrets|microsoft_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,codex_cloud_list_json|task_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,not_in_user_target_set,NO_APLICA,regulated_data_boundary_unclear|secret_detected,next_scope_order_required
codex_cloud_live.microsoft_agents_lab,rest pending,MICROSOFT_AGENTS_GOVERNED_LAB,universo-rey/microsoft-agents-governed-lab,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,universo-rey/microsoft-agents-governed-lab,task_e_6a1f4efb4d4c832e87a3fbf0d0f62433,READY,0,PENDING_BY_SCOPE,non_target_ready,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status_only,secrets|microsoft_live|production|permission_change|tenant_write|regulated_data_dump|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,codex_cloud_list_json|task_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,not_in_user_target_set,NO_APLICA,regulated_data_boundary_unclear|secret_detected,next_scope_order_required
codex_cloud_live.jara_consultores,rest pending,JARA_CONSULTORES,SeshatSgin/jara-consultores,C:/Users/enzo1/Documents/GitHub/jara-consultores,SeshatSgin/jara-consultores,task_e_6a1f44baf768832e8f022011bbeb2a56,READY,0,PENDING_BY_SCOPE,non_target_ready,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,codex_cloud_status_only,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,codex_cloud_list_json|task_ready_files_changed_0,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,not_in_user_target_set,NO_APLICA,secret_detected,next_scope_order_required
codex_cloud_live.sdu_canon,rest pending,SDU_CANON,SeshatSgin/sdu-canon,C:/Users/enzo1/Documents/GitHub/sdu-canon,SeshatSgin/sdu-canon,NO_TASK_FOUND,NO_ENVIRONMENT,NO_APLICA,PENDING_BY_SCOPE,non_target_missing_environment,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,order_prepared_only,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,environment_creation_queue_pending,.agents/codex/tools/local_validate_codex_app_environments.ps1,environment_missing_not_in_user_target_set,NO_APLICA,codex_cloud_environment_missing|codex_environment_creation_tool_unavailable,create_environment_only_under_next_scope_order
codex_cloud_live.modo_on_foundation,rest pending,MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,SeshatSgin/modo-on-foundation,NO_TASK_FOUND,NO_ENVIRONMENT,NO_APLICA,PENDING_BY_SCOPE,non_target_missing_environment,LOCAL_IGNORED_ENV_READY,PASS_HTTP_200,OpenAI Developers|Superpowers|GitHub,order_prepared_only,secrets|microsoft_live|production|permission_change|tenant_write|codex_cloud_apply_without_review,court.openai_dispatcher,rey.frontier_guardian,tcu-descubridor-capacidades,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly,environment_creation_queue_pending,.agents/codex/tools/local_validate_codex_app_environments.ps1,environment_missing_not_in_user_target_set,NO_APLICA,codex_cloud_environment_missing|codex_environment_creation_tool_unavailable,create_environment_only_under_next_scope_order
