repo_id,repository_full_name,universe_or_layer,control_tower,authority_level,canon_status,runtime_status,live_status,primary_agents,source_matrices,blocked_surfaces,validators,evidence,next_gate
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,ROOT_CONTROL_PLANE,MAPPED_FROM_REPOSITORIES,ACTIVE_ROOT_WRAPPER_REPO,NO_APLICA_JUSTIFICADO,rey.control_plane_orchestrator|rey.repo_cartographer|court.thot_schema|court.sdu_gate,REPOSITORIES.csv|UNIVERSES.csv|LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,Change-Aware full coverage|Cabina Validation,REPOSITORIES.csv|PR #55,PR55_REVIEW
ORGANIZACION,universo-rey/organizacion,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,ROOT_CONTROL_PLANE,MAPPED_FROM_REPOSITORIES,ACTIVE_PROJECT_FOLDER_REMOTE_ASSOCIATED_SOURCE_PRESERVED,NO_APLICA_JUSTIFICADO,rey.governance_registrar|rey.repo_cartographer,REPOSITORIES.csv|UNIVERSES.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,repo-specific validators when lane exists,REPOSITORIES.csv,NO_APLICA_JUSTIFICADO
SDU_CANON,SeshatSgin/sdu-canon,COURT,CORTE_REY,COURT_TRANSVERSAL,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED,NO_APLICA_JUSTIFICADO,court.sdu_gate,REPOSITORIES.csv|UNIVERSES.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,repo-specific validators when lane exists,REPOSITORIES.csv,NO_APLICA_JUSTIFICADO
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,COURT,CORTE_REY,COURT_TRANSVERSAL,MAPPED_FROM_REPOSITORIES,ACTIVE_REMOTE_CLONE_NO_LOCAL_SOURCE,LIVE_WRITE_GATED,court.seshat_evidence|court.sdu_gate,REPOSITORIES.csv|UNIVERSES.csv|LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,ci/validate_repo.ps1,Seshat Bootstrap validator PASS,GATE_SESHAT_TEAM_CHANNEL_OWNER
SGIN,universo-rey/Sgin,COURT,CORTE_REY,COURT_TRANSVERSAL,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED,NO_APLICA_JUSTIFICADO,court.seshat_evidence,REPOSITORIES.csv|UNIVERSES.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,repo-specific validators when lane exists,REPOSITORIES.csv,NO_APLICA_JUSTIFICADO
TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,COURT,CORTE_REY,COURT_TRANSVERSAL,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED,NO_APLICA_JUSTIFICADO,court.openai_dispatcher,REPOSITORIES.csv|SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,openai_api_live_without_order|production|secrets,run_controlled_runtime_harness_eval.py,local eval cases=15 failures=0,GATE_TCU_AGENTIC_RUNTIME_DEPLOY_TARGET_SELECTION
TCU_CONTROL_PLANE_REFERENCE,SeshatSgin/tcu-control-plane,COURT,CORTE_REY,COURT_TRANSVERSAL_OUT_OF_BASE_REFERENCE,REFERENCE_ONLY_NOT_ACTIVE_ROOT_REPO_ROW,PR #171 MERGED checks SUCCESS,NO_APLICA_JUSTIFICADO,court.sdu_gate|rey.control_plane_orchestrator,LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv|SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,production|openai_api_live_without_order|microsoft_live_without_order,tcu_agents_sdk_operating_layer PASS|github_remote_governance PASS,PR #171 merge 0fbc9cf0ab13bbabdf3fa3a0912952c47f0b3d0b,NO_TGU_REPO_CREATION
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,ESCRIBANIA,TGE,UNIVERSE_OPERATIVE,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED_CLEAN_VERIFIED_20260601,LIVE_WRITE_GATED,universe.escribania_tower|rey.frontier_guardian,REPOSITORIES.csv|SOURCE_TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv|LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,TGE validators PASS,TGE validators PASS,GATE_TGE_OBJECT_SELECTION
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,TGE,UNIVERSE_OPERATIVE,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED,NO_APLICA_JUSTIFICADO,court.openai_dispatcher|universe.escribania_tower,REPOSITORIES.csv|SOURCE_TGE_RUNTIME_tge_sdu_cn_court_order_adapter_alignment_matrix.csv,openai_api_live_without_order|production|regulated_data_dump,synthetic evals PASS,local eval cases=5+6 failures=0,GATE_TGE_AGENTIC_RUNTIME_DEPLOY_TARGET_SELECTION
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,ESCRIBANIA,TGE,UNIVERSE_OPERATIVE,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED,BLOCKED_REAL,court.seshat_evidence|universe.escribania_tower,REPOSITORIES.csv|LIVE_DELTA_RECONCILIATION_MATRIX_20260603.csv|SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,dependency existence check,missing Connect-SginGraphWrite.ps1 in clean clone,GATE_SGIN_CLEAN_CLONE_DEPENDENCY
MICROSOFT_AGENTS_GOVERNED_LAB,universo-rey/microsoft-agents-governed-lab,ESCRIBANIA,TGE,UNIVERSE_OPERATIVE,MAPPED_FROM_REPOSITORIES,ACTIVE_REMOTE_CLONE_GOVERNED_20260602,LIVE_WRITE_GATED,universe.escribania_tower|tech.reference_librarian,REPOSITORIES.csv,microsoft_live_without_order|production|permissions|secrets,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,REPOSITORIES.csv,GATE_MICROSOFT_AGENT_LAB_REPO_LOCAL_MAPPING
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,MODO_ON,MODO_ON_CONTROL,UNIVERSE_OPERATIVE,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED_CLEAN_VERIFIED_20260601,LIVE_WRITE_GATED,universe.modo_on_tower|rey.frontier_guardian,REPOSITORIES.csv|SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv|SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,CDF validators PASS,PR #23 merged checks success,NO_APLICA_JUSTIFICADO
JARA_CONSULTORES,SeshatSgin/jara-consultores,MODO_ON,MODO_ON_CONTROL,UNIVERSE_OPERATIVE,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED,LIVE_WRITE_GATED,universe.modo_on_tower,REPOSITORIES.csv|SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,REPOSITORIES.csv,GATE_JARA_AGENTKIT_DEPLOY_PRECHECK
MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,MODO_ON,MODO_ON_CONTROL,UNIVERSE_OPERATIVE,MAPPED_FROM_REPOSITORIES,ACTIVE_LOCAL_COPY_SOURCE_PRESERVED,LIVE_WRITE_GATED,universe.modo_on_tower|court.sdu_gate,REPOSITORIES.csv|SOURCE_TCU_SDU_REPO_AGENT_COMMAND_MATRIX_CURRENT.csv,microsoft_live_without_order|openai_api_live_without_order|production|secrets,NO_DETECTADO_REQUIERE_REPO_LOCAL_MAPPING,REPOSITORIES.csv,GATE_MODO_ON_FOUNDATION_AGENT_REGISTRY_RECONCILIATION
