capability_id,capability_name,capability_type,source_repo,source_matrix,authority_layer,universe_id,control_tower,repo_id,agent_id,agent_type,skill_refs,recipe_refs,tool_refs,plugin_refs,surface,gate_required,validator,evidence,readback,runtime_status,live_status,risk_level,propagation_scope,apply_globally,status,stop_condition
cap.root_control_plane_governance,Root control plane governance,governance,universo-rey/cabina-universal-d,MATRIX_INDEX.csv|AGENTS_INDEX.csv|REPOSITORIES.csv,ROOT_CONTROL_PLANE,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,rey.control_plane_orchestrator,root_cabina_agent,tcu-descubridor-capacidades|parallel-order-governance,recipe.router_intake_classification|recipe.parallel_agent_operation,tool.local_inventory|tool.routing_readback,Superpowers,D:/ governance files,yes,local_validate_operational_chain.ps1,MATRIX_INDEX.csv|AGENTS_INDEX.csv,2026-06-03_model_reconciliation_upgrade_integrated_readback.md,RECONCILED,NO_APLICA_JUSTIFICADO,medium,global_cabina,true,RECONCILED,capability_use_preflight_missing|secret_detected
cap.github_repo_scoped,GitHub repo scoped lifecycle,github_repo_scoped,universo-rey/cabina-universal-d,ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv|TOOL_INDEX.csv|REPO_SCOPE.md,ROOT_CONTROL_PLANE,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,rey.repo_cartographer,root_cabina_agent,github:github|github:yeet|cabina-commit-work,recipe.github_pr_lifecycle_governed,git|gh|tool.github_versioning_flow,GitHub,GitHub repo scoped,yes,local_validate_operational_chain.ps1,PR #55|git status|gh pr view,2026-06-03_model_reconciliation_upgrade_integrated_readback.md,READY_WITH_DELTA,NO_APLICA_JUSTIFICADO,medium,root_repo_pr,true,RECONCILED,github_order_missing_checks|merge_without_approved_precheck
cap.github_actions_ci,Cabina validation workflow,github_actions_ci,universo-rey/cabina-universal-d,GITHUB_ACTIONS_WORKFLOW_MATRIX.csv|CHANGE_AWARE_TEST_MANIFEST.csv,ROOT_CONTROL_PLANE,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,court.thot_schema,court_agent,cabina-github-actions-templates,recipe.matrix_recipe_skill_sync,.github/workflows/cabina-validation.yml,GitHub Actions,GitHub Actions,yes,Cabina Validation,workflow permissions contents read|windows-latest,2026-06-03_change_aware_full_coverage_orchestrator_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,high,pull_request|push|workflow_dispatch,true,RECONCILED,workflow_permission_drift|continue_on_error_for_gate
cap.change_aware_full_coverage_gate,Change-Aware Full-Coverage Orchestrator,change_aware_gate,universo-rey/cabina-universal-d,CHANGE_AWARE_TEST_MANIFEST.csv|CHANGE_AWARE_RISK_POLICY.csv|CHANGE_AWARE_IMPACT_GRAPH.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,court.sdu_gate,court_agent,tcu-harness-evals-agentes|repo-agent-tool-governance,recipe.gate_decision_packet,local_run_change_aware_full_coverage_orchestrator.ps1|local_validate_change_aware_full_coverage_orchestrator.ps1,NO_APLICA_JUSTIFICADO,local CI gate,yes,local_run_change_aware_full_coverage_orchestrator.ps1,change_aware_full_coverage_audit_latest.json,2026-06-03_change_aware_full_coverage_orchestrator_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,high,all_required_tests,true,RECONCILED,coverage_loss|coverage_equivalence_false
cap.coverage_equivalence,Coverage equivalence assurance,coverage_equivalence,universo-rey/cabina-universal-d,CHANGE_AWARE_TEST_MANIFEST.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,court.sdu_gate,court_agent,tcu-harness-evals-agentes,recipe.gate_decision_packet,local_run_change_aware_full_coverage_orchestrator.ps1,NO_APLICA_JUSTIFICADO,required test manifest,yes,Change-Aware audit flags,required_test_count=19|coverage_equivalence=true,2026-06-03_model_reconciliation_upgrade_integrated_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,high,merge_gate,true,RECONCILED,coverage_equivalence_false|missing_required_test
cap.governance_validation_suite_diagnostic,Governance validation suite diagnostic set,ci_runner,universo-rey/cabina-universal-d,VALIDATOR_PERFORMANCE_IMPROVEMENT_MATRIX_20260602.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,court.thot_schema,court_agent,matrix-recipe-skill-sync,recipe.matrix_recipe_skill_sync,local_run_governance_validation_suite.ps1,NO_APLICA_JUSTIFICADO,local validator set,diagnostic_only,local_run_governance_validation_suite.ps1,governance_validation_suite_artifact_readback,2026-06-03_governance_validation_suite_artifact_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,medium,diagnostic_full_set,true,RECONCILED,workflow_replacement_without_review
cap.validator_cache_performance,Validator cache and HashSet performance,validator_cache,universo-rey/cabina-universal-d,VALIDATOR_PERFORMANCE_IMPROVEMENT_MATRIX_20260602.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,court.thot_schema,court_agent,matrix-recipe-skill-sync,recipe.matrix_recipe_skill_sync,local_validate_agent_layer.ps1|local_validate_operational_chain.ps1|local_validate_capability_use_hardening.ps1,NO_APLICA_JUSTIFICADO,local validators,yes,Change-Aware required validators,validator_performance_readbacks,2026-06-02_validator_performance_improvements_readback.md|2026-06-03_validator_hash_set_performance_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,medium,validator_runtime,true,RECONCILED,semantic_drift|coverage_loss
cap.audit_artifact_evidence,Sanitized audit artifact evidence,artifact_evidence,universo-rey/cabina-universal-d,CHANGE_AWARE_TEST_MANIFEST.csv|GITHUB_ACTIONS_WORKFLOW_MATRIX.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,court.seshat_evidence,court_agent,governed-readback-closeout,recipe.governed_readback_closeout,actions/upload-artifact|change_aware_full_coverage_audit_latest.json,GitHub Actions,GitHub artifact,yes,artifact sanitized by workflow,change-aware-full-coverage-${run_id},2026-06-03_governance_validation_suite_artifact_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,medium,ci_evidence,true,RECONCILED,secret_in_artifact|live_payload_in_artifact
cap.secret_scan_single_read,Secret scan single-read validator behavior,secret_scan,universo-rey/cabina-universal-d,VALIDATOR_PERFORMANCE_IMPROVEMENT_MATRIX_20260602.csv,ROOT_CONTROL_PLANE,ROOT_CONTROL_PLANE,CABINA_UNIVERSAL_REY,D_CABINA_UNIVERSAL_ROOT,rey.frontier_guardian,root_cabina_agent,repo-agent-tool-governance,recipe.gate_decision_packet,tool.secret_scan,NO_APLICA_JUSTIFICADO,local filesystem,yes,local_validate_agent_layer.ps1,validator_performance_improvements_readback,2026-06-02_validator_performance_improvements_readback.md,CLOSED_VERIFIED,NO_APLICA_JUSTIFICADO,high,all_versioned_files,true,RECONCILED,secret_detected
cap.codex_cloud_governed,Codex Cloud governed repo-scoped lane,codex_cloud,universo-rey/cabina-universal-d,CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv|AUTONOMOUS_AGENT_EXECUTION_MATRIX_20260602.csv,COURT_TRANSVERSAL,COURT,CORTE_REY,D_CABINA_UNIVERSAL_ROOT,court.openai_dispatcher,court_agent,tcu-descubridor-capacidades,recipe.codex_cloud_governed_lane,tool.codex_cloud_cli_readonly|tool.local_validate_codex_cloud_governed_lane,OpenAI Developers,Codex Cloud repo scoped,yes,local_validate_codex_cloud_governed_lane.ps1,codex_cloud_live_lane_finalization_readback,2026-06-02_codex_cloud_live_lane_finalization_readback.md,READY_NO_DIFF,NO_APLICA_JUSTIFICADO,medium,repo_scoped_cloud_tasks,false,RECONCILED,codex_cloud_apply_without_review|secret_detected
