workflow_step_id,phase,purpose,input_artifact,owner_agent,required_recipe,required_tool,output_artifact,validator,human_gate_required,next_step,status,stop_condition
RED001,REVIEW,Confirm live findings are repo-scoped sanitized and usable,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FINDINGS_20260605.csv,court.seshat_evidence,recipe.openai_review_repair_validate_loop,tool.secret_scan,.agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md,.agents/codex/tools/local_validate_agent_layer.ps1,no,RED002,ACTIVE,secret_detected
RED002,REVIEW,Map each finding to current canon boundary and existing matrix coverage,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FINDINGS_20260605.csv,rey.authority_canonist,recipe.repo_agent_tool_governance,tool.local_inventory,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv,.agents/codex/tools/local_validate_capability_use_hardening.ps1,no,RED003,ACTIVE,source_reference_treated_as_canon
RED003,EVALUATION,Classify risk gate and executable surface per finding,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv,rey.frontier_guardian,recipe.gate_decision_packet,tool.boundary_check,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv,.agents/codex/tools/local_validate_order_packets.ps1,conditional,RED004,ACTIVE,gate_missing
RED004,EVALUATION,Assign responsible accountable consulted informed owners per decision,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv,court.thot_schema,recipe.repo_agent_tool_governance,tool.workpaper_index_check,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_RACI_MATRIX_20260605.csv,.agents/codex/tools/local_validate_agent_layer.ps1,no,RED005,ACTIVE,owner_agent_missing
RED005,DECISION,Separate executable next-lane decisions from gated retained or serialized decisions,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_RACI_MATRIX_20260605.csv,court.sdu_gate,recipe.gate_decision_packet,tool.stop_condition_check,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv,.agents/codex/tools/local_validate_operational_chain.ps1,conditional,RED006,ACTIVE,order_packet_missing_required_fields
RED006,DECISION,Authorize only local next lane packaging for EXECUTE_ON_NEXT_LANE decisions,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv,rey.control_plane_orchestrator,recipe.router_intake_classification,tool.routing_readback,.agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md,.agents/codex/tools/local_validate_operational_chain.ps1,no,RED007,ACTIVE,parallel_lane_without_validator
RED007,PACKAGING,Prepare next lane with disjoint files validators rollback and stop condition,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv,codex.workspace_guardian,recipe.parallel_agent_operation,tool.parallel_dispatch_policy_check,.agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv,.agents/codex/tools/local_validate_parallel_order_governance.ps1,no,RED008,ACTIVE,lane_scope_overlap
RED008,VALIDATION,Run local validators and CSV parse before any durable update,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_REVIEW_EVALUATION_DECISION_WORKFLOW_20260605.csv,court.thot_schema,recipe.openai_review_repair_validate_loop,tool.local_validate_agent_layer,.agents/codex/evals/results/change_aware_full_coverage_audit_latest.json,.agents/codex/tools/local_validate_agent_layer.ps1,no,RED009,ACTIVE,validator_failed_actionable
RED009,EVIDENCE,Record readback PR state checks and rollback,.agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md,court.seshat_evidence,recipe.agent_workpaper_operation,tool.routing_readback,.agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md,.agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1,no,RED010,ACTIVE,readback_missing
RED010,STOP,Stop at PR review until human approval promotes draft or merge precheck,.agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_REVIEW_EVALUATION_DECISION_WORKFLOW_20260605.csv,rey.frontier_guardian,recipe.gate_decision_packet,tool.stop_condition_check,PR_101_REVIEW_READY,.agents/codex/tools/local_validate_capability_use_hardening.ps1,yes,END,ACTIVE,human_gate_required_for_ready_or_merge
