process_id,process_name,reusable_as,source_evidence,repo_scope,affected_repos,owner_agent,skill,recipe,tool_or_validator,status_active,risk,repo_native_limit,stop_condition
PRF001,effective_c_root_reanchor,FRAMEWORK|RUNBOOK,AGENTS.md|MANIFEST.yaml,cabina_root,universo-rey/cabina-universal-d,codex.workspace_guardian,tcu-descubridor-capacidades,recipe.repo_agent_tool_governance,git rev-parse|git status,EXECUTE_LOCAL_NOW,bajo,root_only_unless_repo_native_order,ROOT_WORKTREE_DIRTY_SCOPE_CONFLICT
PRF002,mandatory_rector_read_order,RUNBOOK|READBACK_PATTERN,AGENTS.md lectura obligatoria,cabina_root,universo-rey/cabina-universal-d,rey.control_plane_orchestrator,tcu-descubridor-capacidades,recipe.governed_readback_closeout,rg|Get-Content,EXECUTE_LOCAL_NOW,bajo,read_only_for_external_repos,missing_rector_file
PRF003,github_fixed_head_lifecycle,RUNBOOK|GATE_PACKET|RECIPE,02_AUTHORITY_CANON/CURRENT_STATE.md|recipe.github_pr_lifecycle_governed.md,cabina_root,universo-rey/cabina-universal-d,codex.workspace_guardian,cabina-commit-work,recipe.github_pr_lifecycle_governed,gh pr view|gh pr merge --match-head-commit,EXECUTE_LOCAL_NOW,medio,merge_requires_gate,GATE_MERGE_MAIN
PRF004,change_aware_full_coverage,VALIDATOR|RUNBOOK,.agents/codex/tools/local_run_change_aware_full_coverage_orchestrator.ps1,cabina_root,universo-rey/cabina-universal-d,court.thot_schema,matrix-recipe-skill-sync,recipe.validator_orchestration,local_run_change_aware_full_coverage_orchestrator,EXECUTE_LOCAL_NOW,medio,no_live_side_effects,change_aware_gate_failed
PRF005,governance_validation_suite,VALIDATOR|RUNBOOK,.agents/codex/tools/local_run_governance_validation_suite.ps1,cabina_root,universo-rey/cabina-universal-d,court.thot_schema,matrix-recipe-skill-sync,recipe.governance_validation_suite,local_run_governance_validation_suite,EXECUTE_LOCAL_NOW,medio,avoid_external_dirty_mix_if_scope_excludes,validator_failed_actionable
PRF006,nested_repo_separation,FRAMEWORK|GATE_PACKET,AGENTS.md|GITHUB_BASE_WORK_MATRIX.csv,multi_repo,registered_repos,rey.frontier_guardian,repo-agent-tool-governance,recipe.repo_agent_tool_governance,local_validate_repo_topology_windows_default,EXECUTE_LOCAL_NOW,medio,do_not_absorb_nested_repos,BLOCKED_REPO_BOUNDARY
PRF007,codex_cloud_governed_lane,RUNBOOK|RECIPE|MATRIX,.agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md|CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv,cabina_root,registered_cloud_repos,court.openai_dispatcher,tcu-descubridor-capacidades,recipe.codex_cloud_governed_lane,local_validate_codex_cloud_governed_lane,EXECUTE_CODEX_CLOUD_SMOKE_NOW,medio,no_secrets_no_cost_without_gate,PENDING_COST_BOUND_ONLY
PRF008,openai_agents_sdk_governed_use,FRAMEWORK|GATE_PACKET,MANIFEST.yaml|02_AUTHORITY_CANON/CURRENT_STATE.md,cabina_root,universo-rey/cabina-universal-d,court.openai_dispatcher,tcu-gate-api-no-sensible,recipe.openai_review_repair_validate_loop,local_validate_agents_sdk_baseline_gate,EXECUTE_MOCK_NOW,medio,live_api_requires_budget_secret_target,GATE_OPENAI_LIVE
PRF009,microsoft_power_platform_gated_surfaces,GATE_PACKET|RUNBOOK,MANIFEST.yaml|LIVE_SURFACE_GATE_MATRIX_20260603.csv,multi_repo,sharepoint|teams|planner|dataverse|power_platform,anubis-gate,no-inference-runtime-write-guard,recipe.gate_decision_packet,live_surface_gate_matrix,EXECUTE_LIVE_WRITE_GATED_NOW,alto,target_owner_rollback_postcheck_required,GATE_MICROSOFT_LIVE_WRITE
PRF010,readback_closeout_pattern,READBACK_PATTERN|SKILL|RECIPE,.agents/skills/governed-readback-closeout/SKILL.md,cabina_root,universo-rey/cabina-universal-d,court.seshat_evidence,governed-readback-closeout,recipe.governed_readback_closeout,local_validate_operational_chain,EXECUTE_LOCAL_NOW,bajo,no_raw_secret_or_regulated_dump,readback_missing_evidence
