matrix_id,path,scope,primary_reader,update_rule
repo_local_skill_root,.agents/skills,repo_local_portable_skills,03_CORTE_EJECUTORA,update when cabina-owned SKILL.md packages are added or removed
agent_default_skill_assignment_matrix,.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv,agent_default_skills,00_ROUTER,update when default skills recipes tools or plugins are reassigned by agent purpose
agents_global_operability_inventory,.agents/codex/matrices/AGENTS_GLOBAL_OPERABILITY_INVENTORY_20260605.csv,agent_global_operability,00_ROUTER,update when canonical operational runtime or subagent mappings change
agent_governance_matrix,.agents\codex\matrices\AGENT_GOVERNANCE_MATRIX.csv,agent_governance,01_AUTORIDAD_Y_GATES,update when agent authority changes
agent_index,.agents\codex\AGENTS_INDEX.csv,all_agents,00_ROUTER,update when an agent profile or level changes
agent_workpapers_matrix,.agents\codex\matrices\AGENT_WORKPAPERS_MATRIX.csv,agent_workpapers,03_CORTE_EJECUTORA,update when any agent workpaper path or validator changes
canonical_index_lineage_audit,.agents\codex\matrices\CANONICAL_INDEX_LINEAGE_AUDIT.csv,lineage,02_REGISTRO_Y_CARTOGRAFIA,update when generated or derived governance artifacts change
capability_import_decision_matrix,.agents\codex\matrices\CAPABILITY_IMPORT_DECISION_MATRIX.csv,capability_adoption,02_REGISTRO_Y_CARTOGRAFIA,update when a source capability is copied adapted adopted or deferred
capability_matrix,.agents\codex\matrices\CAPABILITY_MATRIX.csv,capabilities,00_ROUTER,update when a capability is added or reassigned
capability_source_inventory,.agents\codex\matrices\CAPABILITY_SOURCE_INVENTORY.csv,capability_sources,02_REGISTRO_Y_CARTOGRAFIA,update when a source repo capability artifact is inventoried or copied
cabina_universal_repo_alignment_matrix,.agents\codex\matrices\CABINA_UNIVERSAL_REPO_ALIGNMENT_MATRIX.csv,cabina_repo_alignment,02_REGISTRO_Y_CARTOGRAFIA,update when a repo is aligned to cabina-universal-d as transversal base
coverage_exception_registry,.agents\codex\matrices\COVERAGE_EXCEPTION_REGISTRY.csv,coverage_exceptions,03_CORTE_EJECUTORA,update when any asset is intentionally uncovered or deferred
d_drive_enrichment_matrix,.agents\codex\matrices\D_DRIVE_ENRICHMENT_MATRIX.csv,enrichment_lanes,02_REGISTRO_Y_CARTOGRAFIA,update when D-drive enrichment lanes change
document_skill_lane_matrix,.agents\codex\matrices\DOCUMENT_SKILL_LANE_MATRIX.csv,document_skill_lanes,05_SOPORTE_TECNICO,update when document type routing skill owner reviewer storage or validator changes
evidence_validation_matrix,.agents\codex\matrices\EVIDENCE_AND_VALIDATION_MATRIX.csv,closeout,03_CORTE_EJECUTORA,update when validators or readbacks change
governed_asset_canonical_inventory,.agents\codex\matrices\GOVERNED_ASSET_CANONICAL_INVENTORY.csv,canonical_inventory,00_ROUTER,regenerate when repo agent or tool governance changes
github_agent_operating_matrix,.agents\codex\matrices\GITHUB_AGENT_OPERATING_MATRIX.csv,github_agent_surfaces,02_REGISTRO_Y_CARTOGRAFIA,update when GitHub issue PR or Copilot agent surfaces change
