"execution_id","scope_type","target_id","repository_full_name","local_path","owner_agent","reviewer_agent","execution_mode","codex_cloud_environment_label","codex_cloud_status","mandatory_discovery_skill","capability_preflight","allowed_autonomous_actions","requires_order_for","blocked_actions","required_recipe","required_tool","evidence","validator","status","stop_condition"
"autonomous.agent.rey.control_plane_orchestrator","agent","rey.control_plane_orchestrator","NO_APLICA",".agents\codex\agents\00_ROUTER\rey.control_plane_orchestrator.md","rey.control_plane_orchestrator","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.rey.frontier_guardian","agent","rey.frontier_guardian","NO_APLICA",".agents\codex\agents\01_AUTORIDAD_Y_GATES\rey.frontier_guardian.md","rey.frontier_guardian","court.seshat_evidence","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.rey.governance_registrar","agent","rey.governance_registrar","NO_APLICA",".agents\codex\agents\02_REGISTRO_Y_CARTOGRAFIA\rey.governance_registrar.md","rey.governance_registrar","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.rey.authority_canonist","agent","rey.authority_canonist","NO_APLICA",".agents\codex\agents\01_AUTORIDAD_Y_GATES\rey.authority_canonist.md","rey.authority_canonist","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.rey.repo_cartographer","agent","rey.repo_cartographer","NO_APLICA",".agents\codex\agents\02_REGISTRO_Y_CARTOGRAFIA\rey.repo_cartographer.md","rey.repo_cartographer","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.court.openai_dispatcher","agent","court.openai_dispatcher","NO_APLICA",".agents\codex\agents\03_CORTE_EJECUTORA\court.openai_dispatcher.md","court.openai_dispatcher","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.universe.escribania_tower","agent","universe.escribania_tower","NO_APLICA",".agents\codex\agents\04_TORRES_DE_UNIVERSO\universe.escribania_tower.md","universe.escribania_tower","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.universe.modo_on_tower","agent","universe.modo_on_tower","NO_APLICA",".agents\codex\agents\04_TORRES_DE_UNIVERSO\universe.modo_on_tower.md","universe.modo_on_tower","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.court.seshat_evidence","agent","court.seshat_evidence","NO_APLICA",".agents\codex\agents\03_CORTE_EJECUTORA\court.seshat_evidence.md","court.seshat_evidence","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
"autonomous.agent.court.sdu_gate","agent","court.sdu_gate","NO_APLICA",".agents\codex\agents\01_AUTORIDAD_Y_GATES\court.sdu_gate.md","court.sdu_gate","rey.frontier_guardian","local_task_scoped_agent","NO_APLICA","NO_APLICA_LOCAL_AGENT","tcu-descubridor-capacidades",".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv|.agents/codex/tools/local_validate_capability_use_hardening.ps1","read_selected_scope|prepare_plan|edit_assigned_workpaper|run_local_validator|emit_readback","codex_cloud_exec|codex_cloud_apply|github_pr_open|microsoft_live|openai_api_live|production|permission_change|tenant_write|remote_agent_persistence","secret_materialization|microsoft_live|production|permission_change|openai_api_live|regulated_data_dump|tenant_write|remote_agent_persistence_without_order|codex_cloud_apply_without_review","recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.matrix_recipe_skill_sync","tool.parallel_dispatch_policy_check|tool.local_validate_capability_use_hardening|tool.local_validate_autonomous_agent_execution",".agents/skills/tcu-descubridor-capacidades/SKILL.md|.agents/codex/agents.json|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv",".agents/codex/tools/local_validate_autonomous_agent_execution.ps1","ACTIVE_LOCAL_TASK_SCOPED","autonomous_agent_order_missing|capability_use_preflight_missing|remote_agent_persistence_without_order|secret_detected"
