"ordinal","validator","repo_local_state","canonical_source","source_sha256","repo_applicability","fresh_result","coverage_or_next_action","stop_condition"
"1","local_run_governance_validation_suite.ps1","NO_DISPONIBLE_REPO_LOCAL","D:/.agents/codex/tools/local_run_governance_validation_suite.ps1","777118680820D7A0BC75D24DB6DF1F493764774CC7DAB38B08FFCFBBA39B45D1","NOT_APPLICABLE_AS_IS_D_CABINA_CONTRACT","NOT_RUN","Use the individual repo-local validators recorded below; do not copy a D-root aggregate runner into project-cdx.","Stop if aggregate PASS is claimed from the D contract."
"2","local_validate_agent_layer.ps1","PRESENT_REPO_LOCAL",".agents/codex/tools/local_validate_agent_layer.ps1","37D6101043785056802C3B243A086D522C5A6DFC236B0FA0593B5E9B42F0570F","APPLICABLE_WITH_SKIP_WORKFLOW_NESTED_VALIDATORS","PASS_WITH_3_WARNINGS","PASS: 204 matrices, 71 tools, 62 skills, 14 agents, 0 errors, 0 secret hits; nested workflow validators were explicitly skipped and remain separate rows.","Stop if this scoped PASS is represented as full-chain PASS."
"3","local_validate_capability_use_hardening.ps1","PRESENT_OWNER_CHAIN_NOT_IN_W1","C:/CEO/project-cdx/.agents/codex/tools/local_validate_capability_use_hardening.ps1","F1D6FE0A043D4AC3C6CE405996F983E7AEF33506AF36850061D10DDFFE3DBE66","OWNER_CHAIN_VALIDATED_READONLY_NOT_IMPORTED","PASS_OWNER_CHAIN","Fresh run from C:/CEO/project-cdx returned PRE_EXEC_CONTRACT_V1_LOCAL_VALIDATION_COMPLETE and DECISION=ALLOW_READONLY; W1 records dependency without absorbing the dirty owner chain.","Stop if W1 claims these files are committed on this branch or uses owner-chain dirt as gate closure."
"4","local_validate_operational_chain.ps1","PRESENT_REPO_LOCAL",".agents/codex/tools/local_validate_operational_chain.ps1","15FD9A5E65F040EC9824EA0862052229FAAFFE0A04370F2EE180AB5D0CAA8E04","APPLICABLE_TO_LOCAL_OPERATIONAL_CHAIN","PASS","Fresh run from W1 repo root returned status PASS with 12 operational-chain rows, 14 agents, 62 skills, 32 recipes and 71 tools.","Stop if an out-of-root invocation failure is treated as current evidence."
"5","local_validate_agents_instruction_hierarchy.ps1","PRESENT_REPO_LOCAL",".agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1","85CA58A2A7067DC6323AD01DF5E47669BE7853643D113EF7396DE1780F7EB906","APPLICABLE_TO_PROJECT_CDX_EXACT_ROOT","PASS","Fresh exact-root run returned 8 instruction surfaces, the W1 AGENTS.md root, 0 warnings and 0 errors; the repo-adapted contract contains no Cabina absolute defaults.","Stop if a fixed external checkout, missing repo-local surface, or inferred instruction precedence is introduced."
"6","local_validate_skill_metadata.ps1","PRESENT_REPO_LOCAL",".agents/codex/tools/local_validate_skill_metadata.ps1","FE2F6EC8CDEC9FB56165B03FCA8E13C1F0D71ECA481A6819089962AC8FC93860","APPLICABLE_TO_SKILL_METADATA_ONLY","PASS","PASS: 32 repo-local skills, 33 metadata rows, 0 errors. Output retains a stale default repo_root label and is not evidence of repo topology.","Stop if this result is used as repo-wide admission."
"7","local_validate_repo_topology_windows_default.ps1","NO_DISPONIBLE","NONE_FOUND_IN_D_REGISTRY_OR_KNOWN_CEO_GITHUB_ROOTS","NONE","NO_EXACT_SOURCE_FOUND","NOT_RUN","Coverage is limited to git root, branch, remote and clean/dirty state checks in the readback; implement only under a separate exact tool order.","Stop if topology PASS is claimed."
"8","local_validate_all_repo_github_alignment.ps1","NO_DISPONIBLE_REPO_LOCAL","D:/.agents/codex/tools/local_validate_all_repo_github_alignment.ps1","835A60EEF3F0D63EF9565DD80E1824E0F8D8D7B881ED19D1DD7D4418AF9B9874","NOT_APPLICABLE_AS_IS_D_CABINA_CONTRACT","NOT_RUN","Use current project remote/branch evidence only; multi-repo alignment remains pending in its owning federal lane.","Stop if local repo evidence is promoted to all-repo alignment."
"9","local_run_repo_alignment_runtime.ps1 -NoWrite","NO_DISPONIBLE_REPO_LOCAL","D:/.agents/codex/tools/local_run_repo_alignment_runtime.ps1","0224AC53EB2397D9757A3D8F68BD39F2A145E0460BFA338B203D59D1EA2EFB51","NOT_APPLICABLE_AS_IS_D_CABINA_CONTRACT","NOT_RUN","No repo-local runtime-alignment replacement is asserted; preserve the external lane.","Stop if runtime alignment is inferred from static files."
"10","local_validate_parallel_issue_queue.ps1","NO_DISPONIBLE_REPO_LOCAL","D:/.agents/codex/tools/local_validate_parallel_issue_queue.ps1","8E30E1D3B6170B8FC03D4DFBAE558D8551B33E4796731804953DEB986AD8BB18","NOT_APPLICABLE_AS_IS_D_CABINA_CONTRACT","NOT_RUN","W1 is already allocated to branch codex/w1-reconcile-20260826 and this file set; D queue admission remains with its owner.","Stop if D queue PASS is inferred."
