component,coverage_status,authority_source,primary_artifact,evidence_artifacts,gap_or_conflict,risk,recommendation,owner_agent,validator,stop_condition
authority,STRONG,AGENTS.md,AGENTS.md,MANIFEST.yaml|02_AUTHORITY_CANON/CURRENT_STATE.md,stale_pr78_references_resolved,MEDIUM,keep AGENTS as highest local repo instruction,codex.workspace_guardian,.agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1,instruction_precedence_missing
governance_manifest,STRONG,MANIFEST.yaml,MANIFEST.yaml,AGENTS.md|README.md,stale_pr78_manifest_state_resolved,MEDIUM,keep manifest synchronized after root PR merges,rey.authority_canonist,.agents/codex/tools/local_validate_agent_layer.ps1,manifest_state_drift
agents,STRONG,.agents/codex/agents.json,.agents/codex/agents.json,.agents/codex/AGENTS_INDEX.csv|.agents/codex/matrices/AGENT_GOVERNANCE_MATRIX.csv,none,LOW,extend existing agents instead of creating parallel identities,rey.control_plane_orchestrator,.agents/codex/tools/local_validate_agent_levels.ps1,missing_agent_home_or_level
skills,STRONG,.agents/skills,.agents/skills,.agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv|.agents/codex/matrices/LOCAL_SKILL_CATALOG.csv,none,LOW,keep repo-local skills portable and indexed,court.thot_schema,.agents/codex/tools/local_validate_skill_metadata.ps1,skill_metadata_missing_or_ambiguous
recipes,STRONG,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/recipes/RECIPE_INDEX.csv,.agents/codex/recipes/*.md,none,LOW,reuse recipe index before creating new recipes,court.openai_dispatcher,.agents/codex/tools/local_validate_agent_layer.ps1,recipe_index_missing_file
tools,STRONG,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/tools/TOOL_INDEX.csv,.agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv,none,LOW,declare allowed and blocked surfaces for tool changes,tech.reference_librarian,.agents/codex/tools/local_validate_agent_layer.ps1,tool_index_missing_surface
github,STRONG,02_AUTHORITY_CANON/GITHUB_BASE_WORK_POLICY.md,02_AUTHORITY_CANON/GITHUB_BASE_WORK_POLICY.md,.github/workflows/cabina-validation.yml|.agents/codex/recipes/recipe.github_pr_lifecycle_governed.md,none,LOW,continue branch codex explicit stage PR checks HEAD fixed,rey.repo_cartographer,.agents/codex/tools/local_validate_github_automation_preflight.ps1,github_order_missing_checks
github_actions,STRONG,.github/workflows/cabina-validation.yml,.github/workflows/cabina-validation.yml,.agents/codex/tools/local_run_change_aware_full_coverage_orchestrator.ps1,none,LOW,keep change aware full coverage as productive gate,court.thot_schema,.agents/codex/tools/local_validate_change_aware_full_coverage_orchestrator.ps1,coverage_equivalence_missing
codex_cloud,STRONG,.agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md,.agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md,.agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv|.agents/codex/matrices/CODEX_CLOUD_ENVIRONMENT_INVENTORY_20260602.csv,none,LOW,no cloud apply without governed order,court.openai_dispatcher,.agents/codex/tools/local_validate_codex_cloud_governed_lane.ps1,codex_cloud_environment_missing
observability,STRONG,governance/observability/SDU_AGENT_RUNTIME_EVIDENCE_MODEL_20260603.md,governance/observability/SDU_AGENT_RUNTIME_EVIDENCE_MODEL_20260603.md,governance/observability/*.schema.json,none,LOW,link readbacks to evidence schemas and validators,court.seshat_evidence,scripts/validators/sdu_agent_runtime_evidence_validator.py,missing_evidence
readbacks,STRONG,.agents/codex/matrices/EVIDENCE_READBACK_REGISTRY_20260603.csv,.agents/codex/readbacks,.agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv,new_readback_registered_in_this_lane,LOW,keep readbacks saneados and allowlisted individually,court.seshat_evidence,.agents/codex/tools/local_validate_agent_layer.ps1,closeout_without_readback
state_machine,PARTIAL,02_AUTHORITY_CANON/CURRENT_STATE.md,02_AUTHORITY_CANON/CURRENT_STATE.md,.agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv|.agents/codex/matrices/CANONICAL_STATE_SUPERSESSION_20260603.csv,distributed_state_not_single_machine,MEDIUM,do not invent a new state machine; reconcile states in existing glossary and current state,rey.frontier_guardian,.agents/codex/tools/local_validate_agent_layer.ps1,stop_condition_without_family
ownership,PARTIAL,.agents/codex/matrices/REPO_AGENT_TOOL_GOVERNANCE_MATRIX.csv,.agents/codex/matrices/REPO_AGENT_TOOL_GOVERNANCE_MATRIX.csv,.agents/codex/matrices/REPO_GOVERNANCE_ASSIGNMENT_MATRIX.csv,owner_fields_distributed,MEDIUM,prefer matrix reconciliation over new ownership taxonomy,rey.governance_registrar,.agents/codex/tools/local_validate_agent_layer.ps1,asset_without_governance_contract
constitution,CREATED,governance/canon/CABINA_OPERATING_SYSTEM_CONSTITUTION.md,governance/canon/CABINA_OPERATING_SYSTEM_CONSTITUTION.md,.agents/codex/matrices/CABINA_OPERATING_SYSTEM_RECONCILIATION_20260605.csv,no_single_short_cos_bridge_before_this_lane,LOW,maintain as descriptive bridge only not aspirational design,rey.authority_canonist,.agents/codex/tools/local_validate_agent_layer.ps1,constitution_drift
live_surfaces,STRONG,.agents/codex/matrices/LIVE_SURFACE_GATE_MATRIX_20260603.csv,.agents/codex/matrices/LIVE_SURFACE_GATE_MATRIX_20260603.csv,MANIFEST.yaml|AGENTS.md,none,HIGH,live writes require exact target owner rollback postcheck evidence,rey.frontier_guardian,.agents/codex/tools/local_validate_capability_use_hardening.ps1,live_write_requested_without_gate
