lane_id,owner_agent,reviewer_agent,role,surface,tools,readiness,evidence,gate,next_action,validator,stop_condition
workbench.control,rey.control_plane_orchestrator,court.seshat_evidence,"ordenar la mesa de trabajo, separar carriles y evitar mezcla de superficies",repo,"git; matrices; validators",READY,"repo root C:\Users\enzo1\Documents\GitHub\cabina-universal-d; branch codex/local-tooling-continuity-handoff; HEAD 6b644a1",none,"mantener cambios en rama codex/* y stagear rutas explicitas","git diff --check; local_validate_agent_layer.ps1; local_validate_operational_chain.ps1",EXECUTED_LOCAL_VALIDATED
workbench.evidence,court.seshat_evidence,court.sdu_gate,"registrar evidencia local y readbacks sin secretos",local,"C:\Users\enzo1\CodexLocal\OPTIMIZACION_PC; PowerShell; JSON",READY,"work-team-prep-20260606-000336 creado; inventarios command/package/process guardados",none,"consultar evidencia antes de repetir instalaciones","evidence folder exists; local validators",EXECUTED_LOCAL_VALIDATED
workbench.vscode_insiders,thot-tecnico,court.seshat_evidence,"editor, terminal y extensiones para desarrollo",local,"code-insiders; Azure extensions; Cloud Code; Terraform; Kubernetes; Go; Rust; CMake; C#; REST Client",READY_NEEDS_WINDOW_RELOAD,"code-insiders 1.124.0-insider; extension set validado; algunas CLIs requieren PATH refrescado en terminal vieja",none,"recargar ventana de VS Code Insiders o abrir terminal nueva","code-insiders --list-extensions --show-versions",EXECUTED_LOCAL_VALIDATED
workbench.path_activation,thot-tecnico,court.seshat_evidence,"activar CLIs instaladas en terminales que no refrescaron PATH",local,"WinGet Links; Google Cloud SDK bin; Cargo bin; Go bin; CMake bin; npm global",READY_PROCESS_ONLY,"rutas verificadas: WinGet Links, .cargo\bin, Go\bin, CMake\bin, Google Cloud SDK\bin, npm global",none,"usar activacion por proceso o abrir terminal nueva; no modificar PATH permanente sin gate item-level","Get-Command after process PATH activation",EXECUTED_LOCAL_VALIDATED
workbench.gcp_agent_lane,sdu-triage-agent,court.sdu_gate,"preparar agente en nube sin desplegar todavia",cloud-read,"gcloud; Cloud Run; Vertex AI Agent Engine; Cloud Build; Artifact Registry; Secret Manager",READY_FOR_GATE_PACKAGE,"gcloud SDK 571.0.0; project future-surge-346000 ACTIVE; billingEnabled=false; key APIs not enabled at last readback",GATE_COST_BOUNDARY;GATE_CLOUD_WRITE;GATE_SECRET_USE,"preparar paquete de gate con owner, max spend, APIs exactas, rollback y postcheck",gcloud read-only describe; gate readback,PENDING_COST_BOUNDARY_ONLY
workbench.power_automate_lane,sdu-triage-agent,court.sdu_gate,"crear automatizaciones locales de escritorio antes de conectores live",local,"Power Automate Desktop; UI local; desktop flows",READY_LOCAL_ONLY,"Microsoft.PowerAutomateDesktop 2.68.00237.26118 instalado; no flow ni connector ejecutado",GATE_POWER_PLATFORM_APPLY;GATE_MICROSOFT_LIVE_WRITE,"hacer smoke local sin conectores externos ni tenant write","winget list --id Microsoft.PowerAutomateDesktop -e",EXECUTED_LOCAL_VALIDATED
workbench.microsoft_lane,maat-cumplimiento,court.sdu_gate,"separar Microsoft live, Teams, SharePoint, Graph, Dataverse y Power Platform",Microsoft live,"az; m365; pac; Teams/Power Platform extensions",READY_READ_OR_DRY_RUN_ONLY,"az, m365 y pac disponibles en toolchain; no tenant write ejecutado",GATE_MICROSOFT_LIVE_WRITE;GATE_POWER_PLATFORM_APPLY;GATE_TENANT_IDENTITY,"solo metadata read-only o dry run hasta target, owner, rollback y postcheck","read-only CLI inventory; solution check/dry run when applicable",PENDING_APPROVAL_ONLY
workbench.github_lane,thot-tecnico,court.seshat_evidence,"controlar repo, PRs, checks y validaciones",GitHub PR,"git; gh; actionlint",READY_LOCAL_VALIDATION,"gh y git disponibles; actionlint instalado; no push ni PR en este subpaso",GATE_REMOTE_GIT_MUTATION,"commit/push/PR solo si se aprueba este carril de continuidad","git diff --check; actionlint when workflow changes",READY_FOR_PR_CREATE
workbench.dev_runtime_lane,thot-tecnico,court.seshat_evidence,"desarrollo local multi-stack sin cloud writes",local,"node; npm; pnpm; yarn; python; uv; pipx; dotnet; go; cargo; cmake",READY_AFTER_PATH_REFRESH,"herramientas instaladas; terminal actual necesita PATH refresh para algunas",none,"abrir terminal nueva o activar rutas por proceso antes de build/test","tool --version smoke",EXECUTED_LOCAL_VALIDATED
workbench.security_boundary,court.sdu_gate,maat-cumplimiento,"bloquear secretos, produccion, permisos y datos regulados hasta gate exacto",governance,"gates; validators; evidence readbacks",READY,"no secrets printed; no production; no tenant writes; no cloud deploy; no remote mutation",GATE_SECRET_USE;GATE_PRODUCTION_DEPLOY;GATE_ADMIN_PERMISSION;GATE_DATA_REGULATED,"mantener payloads saneados y usar readbacks de gate",secret scan in local_validate_agent_layer.ps1,BLOCKED_LIVE_WRITE_UNAPPROVED
