evidence_id,readback_path,category,registry_status,canonical_weight,related_prs,status
evidence.full_live_governed_activation,.agents/codex/readbacks/2026-06-03_full_live_governed_activation_readback.md,SUPPORT,REGISTERED_IN_THIS_PATCH,medium,#56,CURRENT_SUPPORT
evidence.full_live_global_canon,.agents/codex/readbacks/2026-06-03_cabina_full_live_global_canon_update_readback.md,RECTOR,REGISTERED_IN_THIS_PATCH,high,#57,CURRENT_CANON_SUPPORT
evidence.github_lifecycle_smoke,.agents/codex/readbacks/2026-06-03_github_live_repo_scoped_lifecycle_smoke.md,SUPPORT,REGISTERED_IN_THIS_PATCH,medium,#60,CURRENT_SUPPORT
evidence.sdk_cloud_lifecycle_closeout,.agents/codex/readbacks/2026-06-03_sdk_cloud_full_lifecycle_closeout.md,SUPPORT,REGISTERED_IN_THIS_PATCH,medium,#61,CURRENT_SUPPORT
evidence.standard_agent_chain,.agents/codex/readbacks/2026-06-03_standard_agent_chain_activation.md,RECTOR,REGISTERED_IN_THIS_PATCH,high,#62,CURRENT_CANON_SUPPORT
evidence.extended_fan_in,.agents/codex/readbacks/2026-06-03_extended_fan_in_cabina_ecosystem_readback.md,RECTOR,REGISTERED_IN_THIS_PATCH,high,#1-#62,CURRENT_CANON_SUPPORT
evidence.extended_reconciliation_gap_analysis,.agents/codex/readbacks/2026-06-03_extended_reconciliation_gap_analysis_readback.md,RECTOR,REGISTERED_IN_THIS_PATCH,high,#1-#62,CURRENT_CANON_INPUT
evidence.canon_patch_extended_reconciliation,.agents/codex/readbacks/2026-06-03_canon_patch_extended_reconciliation_readback.md,RECTOR,REGISTERED_IN_THIS_PATCH,highest,#1-#62,CABINA_EXTENDED_RECONCILIATION_CANONIZED
evidence.change_aware_orchestrator,.agents/codex/readbacks/2026-06-03_change_aware_full_coverage_orchestrator_readback.md,HISTORICAL,ALREADY_REGISTERED_OR_INDEXED,medium,#53,HISTORICAL_GATE_FOUNDATION
evidence.change_aware_audit_latest,.agents/codex/evals/results/change_aware_full_coverage_audit_latest.json,SUPPORT,ALREADY_REGISTERED,high,#53,CURRENT_GATE_EVIDENCE
evidence.github_ci_artifact,change-aware-full-coverage-${run_id},EXTERNAL_REFERENCE,ALREADY_REGISTERED,medium,#53,CURRENT_EXTERNAL_REFERENCE
