"wave_id","metadata_id","tenant_id","environment_name","surface","source_artifact","target_entity_set","target_logical_name","canonical_id","display_name","classification","status","owner","evidence_ref","rollback","postcheck","validator","stop_condition","notes"
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:001","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:001","CRMDesigners","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:002","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:002","GestordeCopilotos","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:003","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:003","MDE","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:004","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:004","msdyn_SharePointAuthInfraComponents","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:005","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:005","msdyn_SharePointIntegration","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:006","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:006","msdyn_SystemAppActions","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:007","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:007","PowerAppsSharePointAuthInfraApp_Anchor","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:008","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:008","PowerAppsSharePointIntegrationApp_Anchor","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:009","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:009","sdu_runtime_control_plane","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
"SDU-DV-METADATA-WAVE-20260616-01","metadata:solution:010","858a0852-44a1-413e-a0fe-f053949797d6","HUBDesarrollo","solution","inventarios/DATAVERSE_SOLUTIONS_LIVE_20260616.csv","prepared_metadata_only","mon_sdu_source_artifact","sdu:sgin:crosswalk:solution:010","SDUCapabilityControlPlane","observada","METADATA_ONLY_PREPARED","SDU-CN / Corte Ejecutora","inventarios/SGIN_DATAVERSE_POWER_PLATFORM_METADATA_CROSSWALK_20260616.csv","No live write executed; rollback is remove/retire this metadata packet before apply.","Validate CSV + readback + no secrets + no payloads; if applied later, GET by canonical_id candidate_count=1.","tools/validate_proj_cdx_workbench.ps1; skill quick_validate.py","candidate_count_not_one; target_identity_ambiguous; secret_detected; postcheck_missing","Prepared metadata-only hydration row; not applied to Dataverse."
