"repo","path","repo_slug","remote","local_status","branch","upstream","head","dirty","live_status","default_branch","pushed_at","open_prs","draft_prs","clean_prs","live_boundary","action","stop_condition"
"cabina-universal-d","C:\Users\enzo1\Documents\GitHub\cabina-universal-d","universo-rey/cabina-universal-d","https://github.com/universo-rey/cabina-universal-d.git","OK","main","origin/main","28baec3","clean","OK","main","14/6/2026 09:41:33","1","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"cdf-soluciones","C:\Users\enzo1\Documents\GitHub\cdf-soluciones","SeshatSgin/cdf-soluciones","https://github.com/SeshatSgin/cdf-soluciones.git","OK","main","origin/main","211a2de","clean","OK","main","4/6/2026 21:15:52","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"jara-consultores","C:\Users\enzo1\Documents\GitHub\jara-consultores","SeshatSgin/jara-consultores","https://github.com/SeshatSgin/jara-consultores.git","OK","main","origin/main","96733d7","clean","OK","main","2/6/2026 19:13:05","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"microsoft-agents-governed-lab","C:\Users\enzo1\Documents\GitHub\microsoft-agents-governed-lab","universo-rey/microsoft-agents-governed-lab","https://github.com/universo-rey/microsoft-agents-governed-lab.git","OK","main","origin/main","aa4b759","clean","OK","main","14/6/2026 10:11:03","2","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"modo-on-foundation","C:\Users\enzo1\Documents\GitHub\modo-on-foundation","SeshatSgin/modo-on-foundation","https://github.com/SeshatSgin/modo-on-foundation.git","OK","main","origin/main","c117683","clean","OK","main","14/6/2026 10:11:27","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"organizacion","C:\Users\enzo1\Documents\GitHub\organizacion","universo-rey/organizacion","https://github.com/universo-rey/organizacion.git","OK","codex/service-design-documental-20260605","origin/codex/service-design-documental-20260605","fa5e5f6","clean","OK","main","14/6/2026 10:42:57","1","1","1","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"sdu-canon","C:\Users\enzo1\Documents\GitHub\sdu-canon","SeshatSgin/sdu-canon","https://github.com/SeshatSgin/sdu-canon.git","OK","main","origin/main","79f4c7b","clean","OK","main","2/6/2026 15:58:04","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"seshat-bootstrap-sdu-cn","C:\Users\enzo1\Documents\GitHub\seshat-bootstrap-sdu-cn","SeshatSgin/seshat-bootstrap-sdu-cn","https://github.com/SeshatSgin/seshat-bootstrap-sdu-cn.git","OK","main","origin/main","23ee0e2","clean","OK","main","14/6/2026 05:58:14","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"Sgin","C:\Users\enzo1\Documents\GitHub\Sgin","universo-rey/Sgin","https://github.com/universo-rey/Sgin.git","OK","main","origin/main","cfb494b","clean","OK","main","23/5/2026 22:04:39","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"sgin-cumplimiento","C:\Users\enzo1\Documents\GitHub\sgin-cumplimiento","SeshatSgin/sgin-cumplimiento","https://github.com/SeshatSgin/sgin-cumplimiento.git","OK","main","origin/main","5edec3c","clean","OK","main","14/6/2026 05:52:02","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"tcu-agentic-runtime-control","C:\Users\enzo1\Documents\GitHub\tcu-agentic-runtime-control","SeshatSgin/tcu-agentic-runtime-control","https://github.com/SeshatSgin/tcu-agentic-runtime-control.git","OK","main","origin/main","20c19f7","clean","OK","main","14/6/2026 05:52:02","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"tge-agentic-runtime-control-escribania","C:\Users\enzo1\Documents\GitHub\tge-agentic-runtime-control-escribania","SeshatSgin/tge-agentic-runtime-control-escribania","https://github.com/SeshatSgin/tge-agentic-runtime-control-escribania.git","OK","main","origin/main","acbb4b7","clean","OK","main","14/6/2026 05:52:02","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
"torre-gemela-escribania","C:\Users\enzo1\Documents\GitHub\torre-gemela-escribania","SeshatSgin/torre-gemela-escribania","https://github.com/SeshatSgin/torre-gemela-escribania.git","OK","main","origin/main","3c8f6e1","clean","OK","main","14/6/2026 10:10:39","0","0","0","github_remote_readonly","read_only_review","github_write_requested|dirty_scope_unclassified|live_write_without_order"
