"agent_id","name","level_id","layer","primary_surface","profile_path","workpaper_path","status"
"rey.control_plane_orchestrator","Orquestador de Cabina Universal","00_ROUTER","rey_control_plane","AGENTS.md",".agents\codex\agents\00_ROUTER\rey.control_plane_orchestrator.md",".agents\codex\workpapers\rey.control_plane_orchestrator","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"rey.frontier_guardian","Guardian de Fronteras","01_AUTORIDAD_Y_GATES","rey_control_plane","AGENTS.md",".agents\codex\agents\01_AUTORIDAD_Y_GATES\rey.frontier_guardian.md",".agents\codex\workpapers\rey.frontier_guardian","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"rey.governance_registrar","Registrador de Gobierno","02_REGISTRO_Y_CARTOGRAFIA","rey_governance_registry","01_GOVERNANCE_REGISTRY\UNIVERSES.csv",".agents\codex\agents\02_REGISTRO_Y_CARTOGRAFIA\rey.governance_registrar.md",".agents\codex\workpapers\rey.governance_registrar","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"rey.authority_canonist","Canonista de Autoridad","01_AUTORIDAD_Y_GATES","rey_authority_canon","02_AUTHORITY_CANON\CURRENT_STATE.md",".agents\codex\agents\01_AUTORIDAD_Y_GATES\rey.authority_canonist.md",".agents\codex\workpapers\rey.authority_canonist","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"rey.repo_cartographer","Cartografo de Repos","02_REGISTRO_Y_CARTOGRAFIA","rey_registry_support","01_GOVERNANCE_REGISTRY\REPOSITORIES.csv",".agents\codex\agents\02_REGISTRO_Y_CARTOGRAFIA\rey.repo_cartographer.md",".agents\codex\workpapers\rey.repo_cartographer","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"court.openai_dispatcher","Despachador Corte OpenAI","03_CORTE_EJECUTORA","corte_ejecutora","03_CORTE_EJECUTORA_DEL_REY\MANIFEST.yaml",".agents\codex\agents\03_CORTE_EJECUTORA\court.openai_dispatcher.md",".agents\codex\workpapers\court.openai_dispatcher","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"universe.escribania_tower","Torre Universo Escribania","04_TORRES_DE_UNIVERSO","universe_tower","10_UNIVERSOS\ESCRIBANIA\MANIFEST.yaml",".agents\codex\agents\04_TORRES_DE_UNIVERSO\universe.escribania_tower.md",".agents\codex\workpapers\universe.escribania_tower","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"universe.modo_on_tower","Torre Universo Modo ON","04_TORRES_DE_UNIVERSO","universe_tower","10_UNIVERSOS\MODO_ON\MANIFEST.yaml",".agents\codex\agents\04_TORRES_DE_UNIVERSO\universe.modo_on_tower.md",".agents\codex\workpapers\universe.modo_on_tower","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"court.seshat_evidence","Seshat de Evidencia","03_CORTE_EJECUTORA","corte_ejecutora","AGENTS.md",".agents\codex\agents\03_CORTE_EJECUTORA\court.seshat_evidence.md",".agents\codex\workpapers\court.seshat_evidence","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"court.sdu_gate","SDU Gate Canonico","01_AUTORIDAD_Y_GATES","corte_ejecutora","AGENTS.md",".agents\codex\agents\01_AUTORIDAD_Y_GATES\court.sdu_gate.md",".agents\codex\workpapers\court.sdu_gate","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"court.thot_schema","Thot Tecnico de Schemas","03_CORTE_EJECUTORA","corte_ejecutora","AGENTS.md",".agents\codex\agents\03_CORTE_EJECUTORA\court.thot_schema.md",".agents\codex\workpapers\court.thot_schema","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"rey.migration_planner","Planificador de Migracion D","02_REGISTRO_Y_CARTOGRAFIA","rey_control_plane","01_GOVERNANCE_REGISTRY\MIGRATION_MAP_D.csv",".agents\codex\agents\02_REGISTRO_Y_CARTOGRAFIA\rey.migration_planner.md",".agents\codex\workpapers\rey.migration_planner","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"tech.reference_librarian","Bibliotecario de Referencias Tecnicas","05_SOPORTE_TECNICO","technical_reference","80_REFERENCIAS_TECNICAS",".agents\codex\agents\05_SOPORTE_TECNICO\tech.reference_librarian.md",".agents\codex\workpapers\tech.reference_librarian","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
"codex.workspace_guardian","Guardian del Workspace Codex","05_SOPORTE_TECNICO","codex_workspace","AGENTS.md",".agents\codex\agents\05_SOPORTE_TECNICO\codex.workspace_guardian.md",".agents\codex\workpapers\codex.workspace_guardian","LOCAL_GOVERNED_WORKPAPERS_ACTIVE"
