"skill","tipo","receta","comando_candidato","task_candidata","agente_dueno","capability","evidencia_minima","gate_requerido","estado","siguiente_accion"
"ide-workspace-governance","core","recipe-open-cabina-in-governed-ide","tools\ceo-ide-workspace-status.ps1 -Json","CEO IDE: Workspace Control","THOT_IDE_CONTROL","Governed IDE Workspace","operativa\tasks\20260623\READBACK_IDE_WORKSPACE_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_workspace_status"
"ide-terminal-runtime-control","core","recipe-repair-ide-terminal-runtime","tools\ceo-ide-terminal-status.ps1 -Json","CEO IDE: Terminal Status","THOT_IDE_CONTROL","Governed IDE Terminal","operativa\tasks\20260623\READBACK_IDE_TERMINAL_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_terminal_status"
"ide-command-surface-management","core","recipe-build-ide-command-surface","tools\ceo-ide-command-index.ps1 -Json","CEO Command: Index","THOT_COMMAND_FACTORY","IDE Command Surface","operativa\tasks\20260623\READBACK_IDE_COMMAND_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_command_index"
"ide-task-runner-governance","core","recipe-promote-script-to-vscode-task","tools\ceo-ide-tasks-status.ps1 -Json","CEO IDE: Tasks Status","RUN_SUPPORT_IDE","Task Runner Governance","operativa\tasks\20260623\READBACK_IDE_TASK_RUNNER_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_tasks_status"
"ide-extension-policy","core","recipe-classify-vscode-insiders-extensions","tools\ceo-ide-extension-policy.ps1 -Json","CEO IDE: Extension Policy","HORUS_IDE_SIGNAL","IDE Extension Governance","operativa\tasks\20260623\READBACK_IDE_EXTENSION_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_extension_policy"
"ide-agent-mcp-routing","core","recipe-map-agent-tools-in-ide","tools\ceo-ide-agent-map.ps1 -Json","CEO IDE: Agent MCP Hub","ANUBIS_IDE_GATE","IDE Agent Tool Hub","operativa\tasks\20260623\READBACK_IDE_AGENT_MCP_CONTROL_20260623.md","mcp_execution_gate","READY_FROM_EXISTING","run_agent_map"
"ide-evidence-capture","core","recipe-capture-ide-operation-evidence","tools\ceo-ide-evidence-status.ps1 -Json","CEO IDE: Evidence Status","SESHAT_IDE_EVIDENCE","IDE Evidence Capture","operativa\tasks\20260623\READBACK_IDE_EVIDENCE_TELEMETRY_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_evidence_status"
"ide-telemetry-readback","core","recipe-capture-ide-operation-evidence","tools\ceo-ide-telemetry-status.ps1 -Json","CEO IDE: Telemetry Status","HORUS_IDE_SIGNAL","IDE Telemetry Readback","operativa\tasks\20260623\READBACK_IDE_EVIDENCE_TELEMETRY_CONTROL_20260623.md","none_readonly","READY_FROM_EXISTING","run_telemetry_status"
"ide-git-guard","core","recipe-ide-remote-readiness-without-push","tools\ceo-remote-ready.ps1 -Json","CEO: Remote Ready","ANUBIS_IDE_GATE","Governed Remote Readiness","operativa\tasks\20260623\READBACK_CEO_IDE_CONTROL_PLANE_VSCODE_INSIDERS_G1_20260623.md","remote_publication_gate","CANDIDATE_MISSING_COMMAND","defer_to_remote_ready_delta"
"ide-profile-standardisation","core","recipe-open-cabina-in-governed-ide","tools\ceo-vscode-insiders-status.ps1 -Json","CEO VS Code Insiders: Status","MAAT_IDE_COMPLIANCE","IDE Profile Standard","operativa\tasks\20260623\READBACK_CEO_IDE_CONTROL_PLANE_VSCODE_INSIDERS_G1_20260623.md","workspace_only_gate","READY_FROM_EXISTING","run_vscode_status"
"detect-ide-drift","automation","recipe-ide-drift-detection","tools\ceo-ide-workspace-reconcile.ps1 -Json","CEO IDE: Workspace Reconcile","HORUS_IDE_SIGNAL","IDE Drift Detection","operativa\tasks\20260623\READBACK_IDE_WORKSPACE_IDENTITY_RECONCILIATION_20260623.md","none_readonly","READY_FROM_EXISTING","run_workspace_reconcile"
