"path","git_status","tracked_kind","class","decision","root_bucket","size_bytes","exists","safe_to_ignore","safe_to_version","owner_gate"
".github/workflows/codex-governed.yml"," M","tracked","CONFIG","LOCAL_CONFIG",".github","2021","True","False","True","False"
".github/workflows/meta-validate.yml"," M","tracked","CONFIG","LOCAL_CONFIG",".github","1751","True","False","True","False"
".github/workflows/promote.yml"," M","tracked","CONFIG","LOCAL_CONFIG",".github","4140","True","False","True","False"
"MAPA_CORTO.md"," M","tracked","CONFIG","VERSIONABLE_CANON","MAPA_CORTO.md","1229","True","False","True","False"
"README_ARRANQUE_CODEX_CLOUD.md"," D","deleted","LEGACY_READONLY","DEFERRED_WITH_REASON","README_ARRANQUE_CODEX_CLOUD.md",,"False","False","False","True"
"README_CORTO.md"," M","tracked","CONFIG","VERSIONABLE_CANON","README_CORTO.md","885","True","False","True","False"
"VERSION_POLICY.md"," M","tracked","CONFIG","VERSIONABLE_CANON","VERSION_POLICY.md","3994","True","False","True","False"
"VERSION_STATE.json"," M","tracked","SNAPSHOT","VERSIONABLE_READBACK","VERSION_STATE.json","62894","True","False","True","False"
"dataverse/ANCLA_CIERRE_WAVE.md"," M","tracked","CORE_REPO","VERSIONABLE_CANON","dataverse","1075","True","False","True","False"
"dataverse/ANCLA_REHIDRATACION.md"," M","tracked","CORE_REPO","VERSIONABLE_CANON","dataverse","1581","True","False","True","False"
"dataverse/HUELLA_ATOMICA_SDU_OWNER_APPROVED_20260616.md"," M","tracked","CORE_REPO","VERSIONABLE_CANON","dataverse","1456","True","False","True","False"
"dataverse/INDICE_DATAVERSE.md"," M","tracked","EVIDENCE","VERSIONABLE_READBACK","dataverse","2206","True","False","True","False"
"dataverse/MAPA.md"," M","tracked","CORE_REPO","VERSIONABLE_CANON","dataverse","5395","True","False","True","False"
"dataverse/README.md"," M","tracked","CONFIG","VERSIONABLE_CANON","dataverse","5692","True","False","True","False"
"dataverse/REGISTRO_CODEX_CLOUD_20260615.md"," M","tracked","CORE_REPO","VERSIONABLE_CANON","dataverse","1332","True","False","True","False"
"dataverse/REGISTRO_LIMPIEZA_PC_LOCAL_20260615.md"," M","tracked","CORE_REPO","VERSIONABLE_CANON","dataverse","657","True","False","True","False"
"docs/README.md"," M","tracked","CONFIG","VERSIONABLE_CANON","docs","780","True","False","True","False"
"docs/arquitectura/mapa.md"," M","tracked","EVIDENCE","VERSIONABLE_CANON","docs","1682","True","False","True","False"
"docs/cloud-codex-governed.md"," M","tracked","EVIDENCE","VERSIONABLE_CANON","docs","1902","True","False","True","False"
"docs/herramientas/cli-metadata.md"," M","tracked","EVIDENCE","VERSIONABLE_CANON","docs","1832","True","False","True","False"
"docs/index.md"," M","tracked","EVIDENCE","VERSIONABLE_CANON","docs","1114","True","False","True","False"
"docs/operativa/index.md"," M","tracked","EVIDENCE","VERSIONABLE_CANON","docs","762","True","False","True","False"
"docs/runtime-cli.md"," M","tracked","EVIDENCE","VERSIONABLE_CANON","docs","3018","True","False","True","False"
"docs/superpowers/plans/2026-06-16-wave-atomica-repositorios.md"," M","tracked","EVIDENCE","VERSIONABLE_CANON","docs","5665","True","False","True","False"
"docs/superpowers/specs/2026-06-17-nonlinear-thread-architecture-design.md"," M","tracked","EVIDENCE","VERSIONABLE_CANON","docs","4594","True","False","True","False"
"hitos/20260615-agentes-atomicos-algoritmicos-en-waves-v1/INDICE.csv"," M","tracked","EVIDENCE","VERSIONABLE_READBACK","hitos","692","True","False","True","False"
"hitos/20260615-agentes-atomicos-algoritmicos-en-waves-v1/MANIFEST.yaml"," M","tracked","EVIDENCE","VERSIONABLE_READBACK","hitos","871","True","False","True","False"
