archivo,tipo,estado
README.md,hito,DELTA_APLICADO
MANIFEST.yaml,manifest,DELTA_APLICADO
READBACK.md,readback,DELTA_APLICADO
EVIDENCIA.md,evidencia,DELTA_APLICADO
METADATA_HYDRATION_MATRIX.csv,metadata_matrix,METADATA_ONLY_PREPARED
METADATA_HYDRATION_MATRIX.json,metadata_matrix_json,METADATA_ONLY_PREPARED
ROLLBACK.md,rollback,METADATA_ONLY_PREPARED
POSTCHECK.md,postcheck,DELTA_APLICADO
STOP_CONDITIONS.md,stop_conditions,METADATA_ONLY_PREPARED
tools/promote_binding_ui_seshat_home_atomos_dataverse.ps1,tool,DELTA_APLICADO
operativa/archive/legacy-root/20260617/DATAVERSE_PROMOTION_BINDING_UI_SESHAT_HOME_ATOMOS_20260617.json,result,DELTA_APLICADO
operativa/archive/legacy-root/20260617/READBACK_DATAVERSE_POINTER_BINDING_UI_SESHAT_HOME_ATOMOS_20260617.md,readback,DELTA_APLICADO
