repo,ring,path,is_git,branch,head,working_tree,dirty_count,native_snapshot,central_snapshot,decision
universo-rey/projec-cdx,ANILLO_0_CONTROL,C:/Users/enzo1/PROJEC CDX,YES,codex/runtime-versioning-snapshots,9545bc07,CLEAN,0,YES,YES,SNAPSHOT_NATIVE_UPDATED
universo-rey/agents-root,ANILLO_0_CONTROL,C:/CEO/agents,NO,NO_LOCAL,NO_LOCAL,NOT_GIT,0,NO,YES,OBSERVED_NON_GIT_SURFACE
universo-rey/codex-root,ANILLO_0_CONTROL,C:/Users/enzo1/.codex,YES,main,eed6262,DIRTY,21,NO,YES,OBSERVED_DIRTY_NO_CHILD_MUTATION
universo-rey/cabina-universal-d,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,YES,codex/pr96-total-local-alignment-20260622,28baec3,DIRTY,21,NO,YES,OBSERVED_DIRTY_NO_CHILD_MUTATION
SeshatSgin/cdf-soluciones,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/cdf-soluciones,YES,codex/cdf-seshat-context-evidence-split-20260617,2ccd77d,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
SeshatSgin/jara-consultores,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/jara-consultores,YES,codex/readme-lane-atomica-20260617,88676e0,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
universo-rey/microsoft-agents-governed-lab,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/microsoft-agents-governed-lab,YES,codex/readme-lane-atomica-20260617,d1ca48c,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
SeshatSgin/modo-on-foundation,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/modo-on-foundation,YES,codex/readme-lane-atomica-20260617,fb4d9b4,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
universo-rey/organizacion,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/organizacion,YES,codex/readme-lane-atomica-20260617,7cf4a86,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
SeshatSgin/sdu-canon,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/sdu-canon,YES,codex/lane-a-sdu-canon-context-20260617,54e1317,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
SeshatSgin/seshat-bootstrap-sdu-cn,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/seshat-bootstrap-sdu-cn,YES,codex/seshat-prompt-drafts-canon-guarded,b0b93bd,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
universo-rey/Sgin,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/Sgin,YES,main,cfb494b,DIRTY,31,NO,YES,OBSERVED_DIRTY_NO_CHILD_MUTATION
SeshatSgin/sgin-cumplimiento,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/sgin-cumplimiento,YES,codex/readme-lane-atomica-20260617,ed506d9,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
SeshatSgin/tcu-agentic-runtime-control,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/tcu-agentic-runtime-control,YES,codex/readme-lane-atomica-20260617,96e6808,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
SeshatSgin/tge-agentic-runtime-control-escribania,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/tge-agentic-runtime-control-escribania,YES,codex/readme-lane-atomica-20260617,63dc293,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
SeshatSgin/torre-gemela-escribania,ANILLO_1_CANON_13,C:/Users/enzo1/Documents/GitHub/torre-gemela-escribania,YES,codex/readme-lane-atomica-20260617,76bbded,CLEAN,0,NO,YES,CENTRAL_SNAPSHOT_ONLY
