"agent_id","level_id","workpaper_path","status","last_updated","primary_surface","purpose","owner_agent","required_matrices","required_recipes","required_tools","required_validators","evidence_policy","stop_condition"
"rey.control_plane_orchestrator","00_ROUTER","D:\.agents\codex\workpapers\rey.control_plane_orchestrator","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\AGENTS.md","Recibir ordenes, clasificar superficie y derivar a canon, registro, corte o torre de universo.","rey.control_plane_orchestrator","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.router_intake_classification|recipe.agent_workpaper_operation","tool.local_inventory|tool.routing_readback|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"rey.frontier_guardian","01_AUTORIDAD_Y_GATES","D:\.agents\codex\workpapers\rey.frontier_guardian","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\AGENTS.md","Determinar si una accion es local, versionado, live, regulada, productiva o bloqueada.","rey.frontier_guardian","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.gate_decision_packet|recipe.agent_workpaper_operation","tool.boundary_check|tool.secret_scan|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","D:\.agents\codex\workpapers\rey.governance_registrar","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\01_GOVERNANCE_REGISTRY\UNIVERSES.csv","Mantener inventario de universos, torres, repos, activos, owners y relaciones.","rey.governance_registrar","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.registry_enrichment|recipe.d_drive_agent_layer_enrichment|recipe.agent_workpaper_operation","tool.csv_registry_check|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"rey.authority_canonist","01_AUTORIDAD_Y_GATES","D:\.agents\codex\workpapers\rey.authority_canonist","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\02_AUTHORITY_CANON\CURRENT_STATE.md","Cuidar el canon activo, decisiones rectoras, gates y ordenes gobernadas.","rey.authority_canonist","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation","tool.canon_index_check|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","D:\.agents\codex\workpapers\rey.repo_cartographer","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\01_GOVERNANCE_REGISTRY\REPOSITORIES.csv","Mapear clones, repos vecinos, ramas, remotos y relacion con universos sin modificar Git.","rey.repo_cartographer","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.registry_enrichment|recipe.agent_workpaper_operation","tool.git_status_readonly|tool.gh_remote_readonly|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"court.openai_dispatcher","03_CORTE_EJECUTORA","D:\.agents\codex\workpapers\court.openai_dispatcher","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\03_CORTE_EJECUTORA_DEL_REY\MANIFEST.yaml","Preparar prompts, recetas, evals y activaciones locales para agentes OpenAI, Seshat y SDU.","court.openai_dispatcher","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.openai_prompt_pack_json_short|recipe.agent_workpaper_operation","tool.synthetic_eval_manifest|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"universe.escribania_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\workpapers\universe.escribania_tower","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\10_UNIVERSOS\ESCRIBANIA\MANIFEST.yaml","Gobernar el universo Escribania, incluyendo TGE, cumplimiento, evidencia y SharePoint aprobado cuando exista orden.","universe.escribania_tower","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.universe_tower_handoff|recipe.agent_workpaper_operation","tool.surface_order_builder|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","microsoft_live_requested_without_governed_order"
"universe.modo_on_tower","04_TORRES_DE_UNIVERSO","D:\.agents\codex\workpapers\universe.modo_on_tower","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\10_UNIVERSOS\MODO_ON\MANIFEST.yaml","Gobernar el universo Modo ON y ubicar CDF, Jara y activos proveedores bajo control trazable.","universe.modo_on_tower","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.universe_tower_handoff|recipe.agent_workpaper_operation","tool.provider_boundary_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","microsoft_live_requested_without_governed_order"
"court.seshat_evidence","03_CORTE_EJECUTORA","D:\.agents\codex\workpapers\court.seshat_evidence","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\AGENTS.md","Registrar evidencia, readbacks, actas y trazabilidad de decisiones sin sustituir autoridad humana.","court.seshat_evidence","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.evidence_acta_closeout|recipe.governed_readback_closeout|recipe.agent_workpaper_operation","tool.readback_builder|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","microsoft_live_requested_without_governed_order"
"court.sdu_gate","01_AUTORIDAD_Y_GATES","D:\.agents\codex\workpapers\court.sdu_gate","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\AGENTS.md","Aplicar criterio SDU sobre gates, stop conditions, escalamiento y coherencia de ordenes.","court.sdu_gate","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.gate_decision_packet|recipe.agent_workpaper_operation","tool.stop_condition_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","microsoft_live_requested_without_governed_order"
"court.thot_schema","03_CORTE_EJECUTORA","D:\.agents\codex\workpapers\court.thot_schema","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\AGENTS.md","Traducir narrativa, canon y ordenes a campos, schemas, matrices, tools y eventos verificables.","court.thot_schema","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.schema_tool_contract|recipe.matrix_recipe_skill_sync|recipe.agent_workpaper_operation","tool.local_validate_agent_levels|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"rey.migration_planner","02_REGISTRO_Y_CARTOGRAFIA","D:\.agents\codex\workpapers\rey.migration_planner","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\01_GOVERNANCE_REGISTRY\MIGRATION_MAP_D.csv","Preparar migracion local de clones, herramientas y activos al disco D sin mover nada hasta orden gobernada.","rey.migration_planner","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.migration_preflight|recipe.agent_workpaper_operation","tool.path_conflict_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"tech.reference_librarian","05_SOPORTE_TECNICO","D:\.agents\codex\workpapers\tech.reference_librarian","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\80_REFERENCIAS_TECNICAS","Separar referencias tecnicas Microsoft, OpenAI, devcontainers y tooling de canon rector vivo.","tech.reference_librarian","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.workspace_reference_audit|recipe.agent_workpaper_operation","tool.reference_classifier|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
"codex.workspace_guardian","05_SOPORTE_TECNICO","D:\.agents\codex\workpapers\codex.workspace_guardian","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","2026-06-01","D:\AGENTS.md","Auditar configuracion local de Codex, AGENTS.md, rutas y workspaces sin tocar secretos ni ajustes live sin orden.","codex.workspace_guardian","AGENT_WORKPAPERS_MATRIX|PURPOSE_SURFACE_CAPABILITY_MATRIX|AGENT_TOOL_RECIPE_SKILL_MATRIX|AGENT_GOVERNANCE_MATRIX","recipe.workspace_reference_audit|recipe.agent_workpaper_operation","tool.codex_workspace_audit|tool.workpaper_index_check|tool.local_validate_agent_workpapers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","sanitized_repo_visible_evidence_only","workpaper_missing_for_agent"
