"path","git_status","tracked","category","recommended_owner_decision","requires_owner_gate","safe_to_ignore","safe_to_version","safe_to_delete","size_bytes","extension","last_write_local","notes"
"tools/promote_sdu_manifesto_dataverse.ps1"," M","tracked","OWNER_DECISION_REQUIRED","Owner review required before ignore, version, normalize, revert, or future delta.","True","False","False","False","8080",".ps1","2026-06-23T12:00:55","Whitespace-only visible diff plus LF-to-CRLF warning. git diff -w is empty; ignore-space-at-eol and ignore-cr-at-eol still see a leading indentation change. Classified as owner decision because taxonomy has no pure whitespace-only bucket."
".cabina/organizacion-total/CABINA_CONTRACT_G1.md.previous-20260623_031305","??","untracked","BACKUP_RETENTION","Owner decides retention window or ignore rule in a later retention lane; do not delete here.","True","True","False","False","11912",".previous-20260623_031305","2026-06-23T03:03:10","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/CABINA_CONTRACT_G1.md.previous-20260623_033229","??","untracked","BACKUP_RETENTION","Owner decides retention window or ignore rule in a later retention lane; do not delete here.","True","True","False","False","19554",".previous-20260623_033229","2026-06-23T03:13:43","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/config/cabina-contract.v1.json.previous-20260623_031305","??","untracked","BACKUP_RETENTION","Owner decides retention window or ignore rule in a later retention lane; do not delete here.","True","True","False","False","16349",".previous-20260623_031305","2026-06-23T03:04:03","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/config/classification-rules.v3.1.proposed.json","??","untracked","CONFIG_PROPOSALS","Owner decides whether to adopt/promote as a future config delta or keep as local proposal.","True","True","False","False","5984",".json","2026-06-23T02:12:37","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/AGENT_REGISTRY.patch.yaml","??","untracked","PATCH_PROPOSALS","Owner decides whether to apply in an explicit patch lane or keep as local declarative proposal.","True","True","False","False","1080",".yaml","2026-06-23T01:49:30","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/AGENT_REGISTRY.v2.patch.yaml","??","untracked","PATCH_PROPOSALS","Owner decides whether to apply in an explicit patch lane or keep as local declarative proposal.","True","True","False","False","58",".yaml","2026-06-23T02:03:57","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/AGENT_SKILLS_DIFF.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","541",".md","2026-06-23T02:39:32","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/ALLOWED_LOCAL_HARDENING_READBACK.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","1004",".md","2026-06-23T03:06:35","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_CONFIG_REPAIR_PLAN_G1.md","??","untracked","CONFIG_PROPOSALS","Owner decides whether to adopt/promote as a future config delta or keep as local proposal.","True","True","False","False","2329",".md","2026-06-23T02:54:16","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_CONFIG_VALIDATION_G1.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","1828",".md","2026-06-23T02:54:16","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_CONTRACT_ENABLEMENT_DIFF.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","1248",".md","2026-06-23T03:04:40","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_CONTRACT_ENABLEMENT_READBACK.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","797",".md","2026-06-23T03:04:40","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_ENABLEMENT_COMMIT_PLAN.md","??","untracked","CONFIG_PROPOSALS","Owner decides whether to adopt/promote as a future config delta or keep as local proposal.","True","True","False","False","4798",".md","2026-06-23T03:08:22","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_EXECUTION_CAPABILITY_MATRIX.md","??","untracked","CONFIG_PROPOSALS","Owner decides whether to adopt/promote as a future config delta or keep as local proposal.","True","True","False","False","1907",".md","2026-06-23T03:04:40","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_EXECUTION_GATE_VALIDATOR_READBACK.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","990",".md","2026-06-23T03:06:35","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_EXPANSION_CANONIZATION_PREFLIGHT.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","2510",".md","2026-06-23T03:17:55","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_TOP001_CONTRACT_INTEGRATION.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","588",".md","2026-06-23T03:34:59","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CABINA_WORKSPACE_PORTABILITY_READBACK.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","586",".md","2026-06-23T03:06:35","Classified by path, extension, git status, size and timestamp only; content not opened."
".cabina/organizacion-total/out/CARRIL_0_PREFLIGHT_READBACK.md","??","untracked","LOCAL_EVIDENCE_ONLY","Owner may keep local or promote selected sanitized readbacks in a future evidence lane; no action in this carril.","True","True","True","False","12822",".md","2026-06-23T02:38:12","Classified by path, extension, git status, size and timestamp only; content not opened."
